id,isResult,side,h,a,goals,xG,datetime,forecast,result,ref_team_id
11645,True,h,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'h': '1', 'a': '1'}","{'h': '1.34099', 'a': '1.59864'}",2019-08-10 15:00:00,"{'w': 0.321167444974406, 'd': 0.24360891683953226, 'l': 0.435223637972882}",d,73
11654,True,a,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '1', 'a': '2'}","{'h': '1.65069', 'a': '1.62777'}",2019-08-17 15:00:00,"{'w': 0.38930236439366617, 'd': 0.23108086615889104, 'l': 0.37961676889713847}",w,73
11671,True,h,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '1', 'a': '3'}","{'h': '1.89345', 'a': '3.12856'}",2019-08-25 14:00:00,"{'w': 0.21459251925327902, 'd': 0.15957163430481683, 'l': 0.6258347276460056}",l,73
11677,True,a,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '3', 'a': '1'}","{'h': '2.23766', 'a': '0.554726'}",2019-08-31 15:00:00,"{'w': 0.7589221676324627, 'd': 0.1644584643496357, 'l': 0.07661935129213361}",l,73
11690,True,h,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '3', 'a': '1'}","{'h': '1.41542', 'a': '1.50641'}",2019-09-15 13:00:00,"{'w': 0.35655307972467853, 'd': 0.24641258272414931, 'l': 0.39703433742652483}",w,73
11693,True,a,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '1', 'a': '3'}","{'h': '2.18021', 'a': '1.29773'}",2019-09-20 19:00:00,"{'w': 0.5749815772366567, 'd': 0.20327346628482149, 'l': 0.22174494452379445}",w,73
11707,True,h,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '2', 'a': '2'}","{'h': '2.31957', 'a': '1.29546'}",2019-09-28 14:00:00,"{'w': 0.6030994890796645, 'd': 0.19315121735000276, 'l': 0.20374926697953757}",d,73
11722,True,a,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '1', 'a': '0'}","{'h': '1.24109', 'a': '0.683967'}",2019-10-06 14:00:00,"{'w': 0.49663068353348283, 'd': 0.2985805764630794, 'l': 0.20478873999732067}",l,73
11724,True,h,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'h': '0', 'a': '0'}","{'h': '0.675554', 'a': '0.402873'}",2019-10-19 15:00:00,"{'w': 0.3696778723176865, 'd': 0.4391930951000295, 'l': 0.19112903258228262}",d,73
11741,True,a,"{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '0', 'a': '0'}","{'h': '0.674903', 'a': '0.899526'}",2019-10-26 15:00:00,"{'w': 0.25885591496630256, 'd': 0.35329242111189924, 'l': 0.3878516639217297}",d,73
