id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction,ref_player_id
14542,57,MissedShots,0.92,0.504000015258789,0.3789620101451874,Paul Dummett,h,853,SetPiece,2014,Head,4757,Newcastle United,Manchester City,0,2,2014-08-17 16:00:00,Jack Colback,Aerial,853
15560,17,BlockedShot,0.7119999694824218,0.634000015258789,0.010671700350940228,Paul Dummett,h,853,OpenPlay,2014,LeftFoot,4733,Newcastle United,Hull,2,2,2014-09-20 15:00:00,,None,853
15561,18,MissedShots,0.71,0.65,0.012403599917888641,Paul Dummett,h,853,OpenPlay,2014,LeftFoot,4733,Newcastle United,Hull,2,2,2014-09-20 15:00:00,,BallRecovery,853
15869,37,MissedShots,0.9069999694824219,0.585,0.03858179971575737,Paul Dummett,a,853,FromCorner,2014,Head,4748,Stoke,Newcastle United,1,0,2014-09-29 20:00:00,Jack Colback,Cross,853
15870,38,BlockedShot,0.8019999694824219,0.6780000305175782,0.027798399329185486,Paul Dummett,a,853,OpenPlay,2014,RightFoot,4748,Stoke,Newcastle United,1,0,2014-09-29 20:00:00,Moussa Sissoko,Pass,853
15882,66,MissedShots,0.7380000305175781,0.7230000305175781,0.013959700241684914,Paul Dummett,a,853,SetPiece,2014,LeftFoot,4748,Stoke,Newcastle United,1,0,2014-09-29 20:00:00,Rémy Cabella,Pass,853
17504,39,MissedShots,0.950999984741211,0.4879999923706055,0.131182000041008,Paul Dummett,a,853,FromCorner,2014,Head,4693,Swansea,Newcastle United,2,2,2014-10-04 15:00:00,Gabriel Obertan,Cross,853
16513,19,SavedShot,0.769000015258789,0.685,0.015972299501299858,Paul Dummett,h,853,OpenPlay,2014,LeftFoot,4704,Newcastle United,Leicester,1,0,2014-10-18 15:00:00,,TakeOn,853
16316,14,MissedShots,0.6619999694824219,0.5829999923706055,0.007770940195769072,Paul Dummett,a,853,SetPiece,2014,LeftFoot,4715,Tottenham,Newcastle United,1,2,2014-10-26 13:30:00,,None,853
16162,59,MissedShots,0.745999984741211,0.7809999847412109,0.015036899596452713,Paul Dummett,h,853,OpenPlay,2014,LeftFoot,4649,Newcastle United,Liverpool,1,0,2014-11-01 12:45:00,Jack Colback,Pass,853
