id,isResult,side,h,a,goals,xG,datetime,forecast,result,ref_team_id
90,True,h,"{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '0', 'a': '3'}","{'h': '0.435238', 'a': '1.9242'}",2015-08-10 23:00:00,"{'w': 0.07441304564359423, 'd': 0.19178364951968283, 'l': 0.7338033025098718}",l,76
96,True,a,"{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'h': '0', 'a': '0'}","{'h': '0.760848', 'a': '0.684036'}",2015-08-15 18:00:00,"{'w': 0.335130877828473, 'd': 0.3754007423857351, 'l': 0.2894683797857841}",d,76
107,True,h,"{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '2', 'a': '3'}","{'h': '1.42622', 'a': '2.02778'}",2015-08-23 16:30:00,"{'w': 0.2700801102592446, 'd': 0.21474574899791035, 'l': 0.5151741360616852}",l,76
112,True,a,"{'id': '85', 'title': 'Stoke', 'short_title': 'STO'}","{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'h': '0', 'a': '1'}","{'h': '1.21771', 'a': '0.881194'}",2015-08-29 18:00:00,"{'w': 0.43895767800605223, 'd': 0.29392532891309237, 'l': 0.2671169930761059}",w,76
125,True,h,"{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '0', 'a': '0'}","{'h': '0.409143', 'a': '1.00731'}",2015-09-12 18:00:00,"{'w': 0.14779285804574313, 'd': 0.35332995061754285, 'l': 0.4988771913363814}",d,76
133,True,a,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'h': '0', 'a': '1'}","{'h': '0.876719', 'a': '0.632761'}",2015-09-19 18:00:00,"{'w': 0.390268278241665, 'd': 0.36172976428297315, 'l': 0.24800195747531487}",w,76
150,True,h,"{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '2', 'a': '3'}","{'h': '1.27511', 'a': '2.30159'}",2015-09-28 23:00:00,"{'w': 0.20198615359386718, 'd': 0.1939674137114559, 'l': 0.6040464086361522}",l,76
151,True,a,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'h': '2', 'a': '0'}","{'h': '1.99083', 'a': '0.255528'}",2015-10-03 15:45:00,"{'w': 0.7942117757374272, 'd': 0.1668406655494132, 'l': 0.03894755506885215}",l,76
163,True,h,"{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'id': '77', 'title': 'Sunderland', 'short_title': 'SUN'}","{'h': '1', 'a': '0'}","{'h': '2.07781', 'a': '0.658473'}",2015-10-17 18:00:00,"{'w': 0.7051055265241142, 'd': 0.188841438047615, 'l': 0.10605302904461564}",w,76
174,True,a,"{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'h': '0', 'a': '1'}","{'h': '1.03228', 'a': '1.45436'}",2015-10-24 18:00:00,"{'w': 0.268180977650127, 'd': 0.26355565338158465, 'l': 0.46826336891373216}",w,76
187,True,h,"{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '2', 'a': '3'}","{'h': '1.50447', 'a': '2.22545'}",2015-10-31 19:00:00,"{'w': 0.2575607637802949, 'd': 0.2025987641642618, 'l': 0.5398404563860406}",l,76
