id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,season
597,Ramiro Funes Mori,28,2189,4,2.9086846550926566,1,0.758610226213932,24,6,4,1,D S,Everton,4,2.9086846550926566,6.417694925330579,5.725435508415103,2015
597,Ramiro Funes Mori,23,1530,0,0.7628409136086702,1,0.9811176974326372,12,4,0,0,D S,Everton,0,0.7628409136086702,5.0309186754748225,4.4186803959310055,2016
597,Ramiro Funes Mori,4,119,0,0.04514100030064583,0,0,1,0,1,0,D S,Everton,0,0.04514100030064583,0.023519599810242653,0.023519599810242653,2017
