goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,ref_player_id
0,1,0.02598389983177185,90,FW,Newcastle United,West Ham,2,0,2015-05-24,4438,2014,26132,0.05663429945707321,0,1,0,0.02598389983177185,0.40333399176597595,0.320715993642807,4383
0,1,0.02698569931089878,71,FW,West Ham,Everton,1,2,2015-05-16,4423,2014,24668,0,0,0,0,0.02698569931089878,0.06386309862136841,0.03687740117311478,4383
0,1,0.012370100244879723,11,Sub,Aston Villa,West Ham,1,0,2015-05-09,4411,2014,23226,0,0,0,0,0.012370100244879723,0,0,4383
0,2,0.1737540066242218,6,Sub,West Ham,Burnley,1,0,2015-05-02,4404,2014,25437,0,0,0,0,0.1737540066242218,0.1737540066242218,0,4383
0,0,0,34,Sub,Queens Park Rangers,West Ham,0,0,2015-04-25,4469,2014,25916,0,0,0,0,0,0.5602669715881348,0.5602669715881348,4383
0,2,0.03544669970870018,67,FW,Manchester City,West Ham,2,0,2015-04-19,4466,2014,24103,0,0,0,0,0.03544669970870018,0.03544669970870018,0,4383
0,1,0.0728313997387886,28,Sub,West Ham,Stoke,1,1,2015-04-11,4454,2014,24835,0,0,0,0,0.0728313997387886,0.0728313997387886,0,4383
0,1,0.12634800374507904,9,Sub,Leicester,West Ham,2,1,2015-04-04,4442,2014,24877,0,0,0,0,0.12634800374507904,0,0,4383
0,0,0,42,Sub,West Ham,Sunderland,1,0,2015-03-21,4509,2014,23543,0.1065019965171814,0,2,0,0,0.07983949780464172,0,4383
0,0,0,19,Sub,Tottenham,West Ham,2,2,2015-02-22,4542,2014,27449,0,0,0,0,0,0,0,4383
0,0,0,64,FW,Southampton,West Ham,0,0,2015-02-11,4532,2014,27227,0,0,0,0,0,0,0,4383
0,0,0,26,Sub,Liverpool,West Ham,2,0,2015-01-31,4582,2014,26407,0.04311170056462288,0,1,0,0,0,0,4383
0,0,0,5,Sub,West Ham,West Bromwich Albion,1,1,2015-01-01,4556,2014,22992,0,0,0,0,0,0,0,4383
0,0,0,9,Sub,West Bromwich Albion,West Ham,1,2,2014-12-02,4594,2014,22320,0,0,0,0,0,0,0,4383
0,0,0,53,FW,Everton,West Ham,2,1,2014-11-22,4673,2014,19257,0,0,0,0,0,0,0,4383
0,0,0,14,Sub,West Ham,Aston Villa,0,0,2014-11-08,4662,2014,18726,0.30322200059890747,0,2,0,0,0.30322200059890747,0,4383
0,0,0,42,Sub,Stoke,West Ham,2,2,2014-11-01,4650,2014,19012,0,0,0,0,0,0,0,4383
0,0,0,12,Sub,West Ham,Manchester City,2,1,2014-10-25,4709,2014,19331,0,0,0,0,0,0,0,4383
1,3,0.6180769801139832,30,Sub,Burnley,West Ham,1,3,2014-10-18,4701,2014,18848,0,0,0,1,0.6180769801139832,0.1315470039844513,0.1315470039844513,4383
0,1,0.06457109749317169,27,Sub,Manchester United,West Ham,2,1,2014-09-27,4740,2014,18572,0,0,0,0,0.06457109749317169,0.06457109749317169,0,4383
0,0,0,81,FW,West Ham,Southampton,1,3,2014-08-30,4774,2014,17838,0,0,0,0,0,0,0,4383
1,2,0.46981099247932434,72,FW,Crystal Palace,West Ham,1,3,2014-08-23,4761,2014,17379,0.14661400020122528,0,2,1,0.46981099247932434,0.25734400749206543,0.11073099821805954,4383
0,2,0.10297799855470657,82,FW,West Ham,Tottenham,0,1,2014-08-16,4754,2014,17281,0,0,0,0,0.10297799855470657,0.3938150107860565,0.29083698987960815,4383
