id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,season
5304,Mikel Merino,24,1336,1,0.5061763650737703,1,0.7422156911343336,16,16,4,0,M S,Newcastle United,1,0.5061763650737703,3.6587873492389917,3.2360308170318604,2017
5304,Mikel Merino,15,755,2,3.039298627525568,1,0.8874041065573692,16,8,2,0,M S,Arsenal,2,3.039298627525568,5.267317382618785,4.018432695418596,2024
5304,Mikel Merino,15,755,2,3.039298627525568,1,0.8874041065573692,16,8,2,0,M S,Arsenal,2,3.039298627525568,5.267317382618785,4.018432695418596,2025
