goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,ref_player_id
0,0,0,5,Sub,Inter,Empoli,4,3,2015-05-31,4826,2014,55697,0,0,0,0,0,0.21797800064086914,0.21797800064086914,3871
0,0,0,8,Sub,Inter,Juventus,1,2,2015-05-16,4799,2014,55641,0.35183200240135193,0,1,0,0,0.35183200240135193,0.35183200240135193,3871
0,3,0.21801699697971344,42,Sub,Lazio,Inter,1,2,2015-05-10,4797,2014,56408,0.042173098772764206,0,1,0,0.21801699697971344,0.39216700196266174,0.13197700679302216,3871
0,1,0.033688098192214966,36,Sub,Inter,Chievo,0,0,2015-05-03,4782,2014,56841,0.0620867982506752,0,1,0,0.033688098192214966,0.12075299769639969,0.0870646983385086,3871
1,4,0.16227899491786957,23,Sub,Udinese,Inter,1,2,2015-04-28,4871,2014,56129,0,0,0,1,0.16227899491786957,0.22759400308132172,0.15704600512981415,3871
0,0,0,3,Sub,Inter,Roma,2,1,2015-04-25,4862,2014,55223,0.10191699862480164,1,1,0,0,0.10191699862480164,0,3871
0,1,0.03815099969506264,13,Sub,Inter,Parma,1,1,2015-04-04,4830,2014,53830,0,0,0,0,0.03815099969506264,0.03815099969506264,0,3871
0,1,0.028448600322008133,87,FW,Sampdoria,Inter,1,0,2015-03-22,4914,2014,54762,0,0,0,0,0.028448600322008133,0.1444070041179657,0.11595799773931503,3871
0,5,0.19737699627876282,43,Sub,Inter,Cesena,1,1,2015-03-15,4905,2014,53913,0,0,0,0,0.19737699627876282,0.758243978023529,0.5608670115470886,3871
0,0,0,67,FW,Inter,Fiorentina,0,1,2015-03-01,4886,2014,52880,0,0,0,0,0,0.02582230046391487,0.02582230046391487,3871
0,3,0.741428017616272,81,FW,Cagliari,Inter,1,2,2015-02-23,4954,2014,53366,0.16273699700832367,0,3,0,0.741428017616272,1.364050030708313,0.6512100100517273,3871
0,3,0.24760699272155762,90,FW,Atalanta,Inter,1,4,2015-02-15,4942,2014,52754,0,0,0,0,0.24760699272155762,0.8000440001487732,0.5524370074272156,3871
0,1,0.033268798142671585,56,AML,Sassuolo,Inter,3,1,2015-02-01,4919,2014,52200,0.01609029993414879,0,1,0,0.033268798142671585,0.06823229789733887,0.018873199820518494,3871
0,3,0.12464799731969833,68,AMR,Inter,Torino,0,1,2015-01-25,4993,2014,52017,0.02469700016081333,0,1,0,0.12464799731969833,0.12464799731969833,0,3871
0,0,0,75,AML,Empoli,Inter,0,0,2015-01-17,4977,2014,51199,0.5169559717178345,0,2,0,0,0.01382249966263771,0.01382249966263771,3871
0,1,0.10984999686479568,90,AML,Inter,Genoa,3,1,2015-01-11,4969,2014,51768,0.06441880017518997,0,2,0,0.10984999686479568,0.5579040050506592,0.4934850037097931,3871
0,1,0.03851800039410591,36,Sub,Juventus,Inter,1,1,2015-01-06,4966,2014,51340,0.6996229887008667,0,2,0,0.03851800039410591,0.7381410002708435,0,3871
0,1,0.025570599362254143,16,Sub,Arsenal,Newcastle United,4,1,2014-12-13,4615,2014,20429,0,0,0,0,0.025570599362254143,0.025570599362254143,0,3871
0,1,0.03447369858622551,26,Sub,Stoke,Arsenal,3,2,2014-12-06,4601,2014,23117,0,0,0,0,0.03447369858622551,0.13957099616527557,0.10509700328111649,3871
0,2,0.10746899992227554,7,Sub,Arsenal,Southampton,1,0,2014-12-03,4598,2014,21655,0.2767919898033142,0,1,0,0.10746899992227554,0.10746899992227554,0,3871
0,3,0.6137530207633972,9,Sub,Arsenal,Burnley,3,0,2014-11-01,4652,2014,19469,0.07780999690294266,0,1,0,0.6137530207633972,0.24227899312973022,0,3871
0,2,0.13235600292682648,7,Sub,Chelsea,Arsenal,2,0,2014-10-05,4697,2014,19456,0,0,0,0,0.13235600292682648,0.07839179784059525,0.014445800334215164,3871
0,0,0,9,Sub,Aston Villa,Arsenal,0,3,2014-09-20,4731,2014,18158,0,0,0,0,0,0,0,3871
0,0,0,9,Sub,Leicester,Arsenal,1,1,2014-08-31,4778,2014,17685,0,0,0,0,0,0,0,3871
