id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction,ref_player_id
280263,15,MissedShots,0.915,0.655,0.055758100003004074,Sergio Reguilón,a,7187,OpenPlay,2018,LeftFoot,10143,Real Betis,Real Madrid,1,2,2019-01-13 19:45:00,Vinícius Júnior,Cross,7187
280272,45,BlockedShot,0.7930000305175782,0.74,0.025967499241232872,Sergio Reguilón,a,7187,OpenPlay,2018,LeftFoot,10143,Real Betis,Real Madrid,1,2,2019-01-13 19:45:00,Federico Valverde,Pass,7187
280352,60,BlockedShot,0.870999984741211,0.5120000076293946,0.08217380195856094,Sergio Reguilón,h,7187,OpenPlay,2018,LeftFoot,10150,Real Madrid,Sevilla,2,0,2019-01-19 15:15:00,,None,7187
280990,18,MissedShots,0.7659999847412109,0.6370000076293946,0.023923499509692192,Sergio Reguilón,h,7187,OpenPlay,2018,LeftFoot,10172,Real Madrid,Alaves,3,0,2019-02-03 19:45:00,Dani Ceballos,Pass,7187
281903,31,MissedShots,0.7580000305175781,0.66,0.015991700813174248,Sergio Reguilón,h,7187,FromCorner,2018,LeftFoot,10207,Real Madrid,Barcelona,0,1,2019-03-02 19:45:00,,None,7187
285419,27,MissedShots,0.840999984741211,0.6,0.0718265026807785,Sergio Reguilón,a,7187,OpenPlay,2018,RightFoot,10218,Real Valladolid,Real Madrid,1,4,2019-03-10 19:45:00,Dani Ceballos,Pass,7187
311218,6,MissedShots,0.8859999847412109,0.720999984741211,0.04675529897212982,Sergio Reguilón,a,7187,OpenPlay,2019,LeftFoot,12030,Espanyol,Sevilla,0,2,2019-08-18 18:00:00,,BallRecovery,7187
311222,22,BlockedShot,0.789000015258789,0.68,0.011442000046372414,Sergio Reguilón,a,7187,FromCorner,2019,LeftFoot,12030,Espanyol,Sevilla,0,2,2019-08-18 18:00:00,Joan Jordán,Chipped,7187
311227,43,Goal,0.9569999694824218,0.5359999847412109,0.6523950099945068,Sergio Reguilón,a,7187,OpenPlay,2019,LeftFoot,12030,Espanyol,Sevilla,0,2,2019-08-18 18:00:00,,Rebound,7187
311229,66,BlockedShot,0.8530000305175781,0.664000015258789,0.09582550078630447,Sergio Reguilón,a,7187,OpenPlay,2019,RightFoot,12030,Espanyol,Sevilla,0,2,2019-08-18 18:00:00,,TakeOn,7187
311233,84,MissedShots,0.865999984741211,0.6680000305175782,0.06370940059423447,Sergio Reguilón,a,7187,OpenPlay,2019,LeftFoot,12030,Espanyol,Sevilla,0,2,2019-08-18 18:00:00,Nolito,Pass,7187
323602,75,MissedShots,0.73,0.5279999923706055,0.023177100345492363,Sergio Reguilón,h,7187,OpenPlay,2019,RightFoot,12091,Sevilla,Real Sociedad,3,2,2019-09-29 19:00:00,Fernando,Pass,7187
325131,52,SavedShot,0.7869999694824219,0.67,0.027832699939608574,Sergio Reguilón,a,7187,OpenPlay,2019,LeftFoot,12093,Barcelona,Sevilla,4,0,2019-10-06 20:00:00,Éver Banega,TakeOn,7187
326627,28,SavedShot,0.9380000305175781,0.605,0.07741209864616394,Sergio Reguilón,h,7187,OpenPlay,2019,LeftFoot,12112,Sevilla,Levante,1,0,2019-10-20 20:00:00,Lucas Ocampos,Cross,7187
333170,42,BlockedShot,0.915,0.7390000152587891,0.03003760054707527,Sergio Reguilón,a,7187,FromCorner,2019,LeftFoot,12162,Real Valladolid,Sevilla,0,1,2019-11-24 20:00:00,Éver Banega,Cross,7187
334070,22,MissedShots,0.7980000305175782,0.5520000076293945,0.046859100461006165,Sergio Reguilón,h,7187,FromCorner,2019,LeftFoot,12171,Sevilla,Leganes,1,0,2019-12-01 11:00:00,,Rebound,7187
334075,46,BlockedShot,0.7569999694824219,0.5570000076293945,0.019161399453878403,Sergio Reguilón,h,7187,FromCorner,2019,LeftFoot,12171,Sevilla,Leganes,1,0,2019-12-01 11:00:00,,None,7187
337806,46,MissedShots,0.7859999847412109,0.5329999923706055,0.02713089995086193,Sergio Reguilón,h,7187,SetPiece,2019,RightFoot,12191,Sevilla,Villarreal,1,2,2019-12-15 17:30:00,,None,7187
