id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction,ref_player_id
14601,86,MissedShots,0.8580000305175781,0.34799999237060547,0.10117900371551514,Leandro Bacuna,a,674,OpenPlay,2014,LeftFoot,4752,Stoke,Aston Villa,0,1,2014-08-16 15:00:00,Fabian Delph,Pass,674
18695,86,MissedShots,0.7519999694824219,0.32299999237060545,0.017262300476431847,Leandro Bacuna,h,674,OpenPlay,2014,RightFoot,4624,Aston Villa,Manchester United,1,1,2014-12-20 15:00:00,Fabian Delph,Pass,674
18340,88,SavedShot,0.9059999847412109,0.6790000152587891,0.0692581981420517,Leandro Bacuna,h,674,OpenPlay,2014,LeftFoot,4644,Aston Villa,Sunderland,0,0,2014-12-28 15:00:00,Carlos Sánchez,Pass,674
19332,26,MissedShots,0.7440000152587891,0.764000015258789,0.03349880129098892,Leandro Bacuna,h,674,DirectFreekick,2014,RightFoot,4557,Aston Villa,Crystal Palace,0,0,2015-01-01 15:00:00,,Standard,674
19335,39,BlockedShot,0.745999984741211,0.34400001525878904,0.048054300248622894,Leandro Bacuna,h,674,DirectFreekick,2014,RightFoot,4557,Aston Villa,Crystal Palace,0,0,2015-01-01 15:00:00,,Standard,674
19344,83,BlockedShot,0.88,0.31,0.055406998842954636,Leandro Bacuna,h,674,OpenPlay,2014,RightFoot,4557,Aston Villa,Crystal Palace,0,0,2015-01-01 15:00:00,Christian Benteke,Pass,674
19346,86,SavedShot,0.7630000305175781,0.52,0.07593639940023422,Leandro Bacuna,h,674,DirectFreekick,2014,RightFoot,4557,Aston Villa,Crystal Palace,0,0,2015-01-01 15:00:00,,Standard,674
24068,90,MissedShots,0.8619999694824219,0.83,0.04903259873390198,Leandro Bacuna,h,674,DirectFreekick,2014,RightFoot,4482,Aston Villa,West Bromwich Albion,2,1,2015-03-03 19:45:00,,Standard,674
24070,92,SavedShot,0.9669999694824218,0.34900001525878904,0.2868010103702545,Leandro Bacuna,h,674,OpenPlay,2014,RightFoot,4482,Aston Villa,West Bromwich Albion,2,1,2015-03-03 19:45:00,,Rebound,674
20536,10,BlockedShot,0.730999984741211,0.25299999237060544,0.027072200551629066,Leandro Bacuna,a,674,OpenPlay,2014,RightFoot,4497,Sunderland,Aston Villa,0,4,2015-03-14 15:00:00,Charles N&#039;Zogbia,Pass,674
21191,55,MissedShots,0.7709999847412109,0.529000015258789,0.020689500495791435,Leandro Bacuna,h,674,FromCorner,2014,LeftFoot,4504,Aston Villa,Swansea,0,1,2015-03-21 15:00:00,,None,674
22267,18,MissedShots,0.775,0.3320000076293945,0.021453499794006348,Leandro Bacuna,h,674,OpenPlay,2014,LeftFoot,4450,Aston Villa,Queens Park Rangers,3,3,2015-04-07 19:45:00,Christian Benteke,Pass,674
21404,18,MissedShots,0.8630000305175781,0.2720000076293945,0.03386079892516136,Leandro Bacuna,a,674,OpenPlay,2014,RightFoot,4455,Tottenham,Aston Villa,0,1,2015-04-11 15:00:00,Christian Benteke,Pass,674
22637,26,BlockedShot,0.700999984741211,0.31,0.019163500517606735,Leandro Bacuna,a,674,FromCorner,2014,RightFoot,4475,Manchester City,Aston Villa,3,2,2015-04-25 17:30:00,Fabian Delph,Pass,674
20523,49,MissedShots,0.755,0.385,0.020394399762153625,Leandro Bacuna,h,674,OpenPlay,2014,LeftFoot,4401,Aston Villa,Everton,3,2,2015-05-02 15:00:00,,None,674
20284,5,MissedShots,0.7240000152587891,0.6170000076293946,0.04280110076069832,Leandro Bacuna,h,674,DirectFreekick,2014,RightFoot,4411,Aston Villa,West Ham,1,0,2015-05-09 15:00:00,,Standard,674
20293,39,MissedShots,0.875999984741211,0.33,0.07489190250635147,Leandro Bacuna,h,674,OpenPlay,2014,RightFoot,4411,Aston Villa,West Ham,1,0,2015-05-09 15:00:00,Christian Benteke,Pass,674
487141,42,BlockedShot,0.7859999847412109,0.4370000076293945,0.09737080335617065,Leandro Bacuna,a,674,DirectFreekick,2015,RightFoot,82,Bournemouth,Aston Villa,0,1,2015-08-08 18:00:00,,Standard,674
56497,51,MissedShots,0.8180000305175781,0.41,0.050537701696157455,Leandro Bacuna,a,674,OpenPlay,2015,LeftFoot,104,Crystal Palace,Aston Villa,2,1,2015-08-22 18:00:00,Ashley Westwood,Pass,674
57370,19,MissedShots,0.9169999694824219,0.39,0.07790769636631012,Leandro Bacuna,h,674,OpenPlay,2015,RightFoot,113,Aston Villa,Sunderland,2,2,2015-08-29 18:00:00,Jordan Amavi,Cross,674
57373,37,MissedShots,0.855999984741211,0.30700000762939456,0.06930080056190491,Leandro Bacuna,h,674,OpenPlay,2015,RightFoot,113,Aston Villa,Sunderland,2,2,2015-08-29 18:00:00,Alan Hutton,Pass,674
57383,59,SavedShot,0.7819999694824219,0.635,0.024165300652384758,Leandro Bacuna,h,674,OpenPlay,2015,RightFoot,113,Aston Villa,Sunderland,2,2,2015-08-29 18:00:00,Idrissa Gueye,Pass,674
58067,78,BlockedShot,0.7119999694824218,0.48200000762939454,0.04261999949812889,Leandro Bacuna,h,674,DirectFreekick,2015,RightFoot,133,Aston Villa,West Bromwich Albion,0,1,2015-09-19 18:00:00,,Standard,674
53266,78,ShotOnPost,0.769000015258789,0.5509999847412109,0.024722499772906303,Leandro Bacuna,a,674,OpenPlay,2015,RightFoot,190,Tottenham,Aston Villa,3,1,2015-11-03 00:00:00,Jordan Ayew,Pass,674
