id,isResult,side,h,a,goals,xG,datetime,forecast,result,ref_team_id
16437,True,h,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'h': '0', 'a': '0'}","{'h': '0.584725', 'a': '0.673617'}",2021-10-02 14:00:00,"{'w': 0.2684686104002272, 'd': 0.4075502194648376, 'l': 0.32398117013493355}",d,92
16451,True,a,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'h': '2', 'a': '0'}","{'h': '2.15712', 'a': '1.07719'}",2021-10-16 14:00:00,"{'w': 0.6199397587356156, 'd': 0.19999210742645002, 'l': 0.1800681234358445}",l,92
16464,True,a,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'h': '2', 'a': '2'}","{'h': '1.42567', 'a': '0.673195'}",2021-10-23 14:00:00,"{'w': 0.5521732686511277, 'd': 0.2716868256732626, 'l': 0.17613990563440615}",d,92
16467,True,h,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'h': '3', 'a': '1'}","{'h': '2.72901', 'a': '0.834312'}",2021-10-30 14:00:00,"{'w': 0.7710824818923403, 'd': 0.14035937508538643, 'l': 0.08855793477890578}",w,92
16479,True,a,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'h': '1', 'a': '1'}","{'h': '3.00585', 'a': '0.674072'}",2021-11-06 15:00:00,"{'w': 0.8368299999725226, 'd': 0.10885361402542264, 'l': 0.0543156994642318}",d,92
16487,True,h,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '3', 'a': '3'}","{'h': '1.04224', 'a': '1.74839'}",2021-11-20 15:00:00,"{'w': 0.2249592101093458, 'd': 0.2357748784664847, 'l': 0.5392659107725425}",d,92
16511,True,a,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'h': '0', 'a': '0'}","{'h': '0.711691', 'a': '0.195537'}",2021-12-01 19:30:00,"{'w': 0.44502685338854114, 'd': 0.46179782238800987, 'l': 0.09317532422344646}",d,92
16520,True,a,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'h': '1', 'a': '0'}","{'h': '1.70609', 'a': '0.604599'}",2021-12-04 15:00:00,"{'w': 0.6414884008786947, 'd': 0.2311227701829744, 'l': 0.1273888284693021}",l,92
16529,True,h,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '0', 'a': '0'}","{'h': '0.54801', 'a': '0.998813'}",2021-12-12 14:00:00,"{'w': 0.1975693458223976, 'd': 0.3464209176675376, 'l': 0.4560097365097695}",d,92
16574,True,a,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'h': '3', 'a': '1'}","{'h': '1.80776', 'a': '0.871738'}",2021-12-30 20:15:00,"{'w': 0.5949127446327924, 'd': 0.2275297945121946, 'l': 0.1775574598383044}",l,92
