id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction,ref_player_id
601660,82,Goal,0.9230000305175782,0.52,0.5549602508544922,Matt O&#039;Riley,h,13206,OpenPlay,2024,LeftFoot,26703,Brighton,Manchester City,2,1,2024-11-09 17:30:00,João Pedro,Throughball,13206
602857,83,MissedShots,0.855999984741211,0.27399999618530274,0.05135057121515274,Matt O&#039;Riley,a,13206,OpenPlay,2024,LeftFoot,26712,Bournemouth,Brighton,1,2,2024-11-23 15:00:00,Danny Welbeck,Pass,13206
603809,21,MissedShots,0.8330000305175781,0.45599998474121095,0.011672825552523136,Matt O&#039;Riley,h,13206,OpenPlay,2024,Head,26723,Brighton,Southampton,1,1,2024-11-29 20:00:00,Estupiñán,Cross,13206
603820,55,SavedShot,0.8169999694824219,0.5179999923706055,0.04703190177679062,Matt O&#039;Riley,h,13206,SetPiece,2024,LeftFoot,26723,Brighton,Southampton,1,1,2024-11-29 20:00:00,,None,13206
605406,61,BlockedShot,0.9309999847412109,0.40900001525878904,0.09416598826646805,Matt O&#039;Riley,a,13206,OpenPlay,2024,LeftFoot,26736,Fulham,Brighton,3,1,2024-12-05 19:30:00,,None,13206
605407,78,OwnGoal,0.035,0.47200000762939454,0,Matt O&#039;Riley,a,13206,FromCorner,2024,OtherBodyPart,26736,Fulham,Brighton,3,1,2024-12-05 19:30:00,,CornerAwarded,13206
609237,7,BlockedShot,0.9309999847412109,0.40099998474121096,0.12732553482055664,Matt O&#039;Riley,h,13206,OpenPlay,2024,LeftFoot,26774,Brighton,Brentford,0,0,2024-12-27 19:30:00,Brajan Gruda,Pass,13206
609242,22,SavedShot,0.8859999847412109,0.35400001525878905,0.0769711285829544,Matt O&#039;Riley,h,13206,OpenPlay,2024,RightFoot,26774,Brighton,Brentford,0,0,2024-12-27 19:30:00,Brajan Gruda,Pass,13206
609248,41,BlockedShot,0.7040000152587891,0.5079999923706054,0.012393815442919731,Matt O&#039;Riley,h,13206,OpenPlay,2024,LeftFoot,26774,Brighton,Brentford,0,0,2024-12-27 19:30:00,Brajan Gruda,Pass,13206
609251,47,MissedShots,0.9059999847412109,0.34,0.06207804009318352,Matt O&#039;Riley,h,13206,OpenPlay,2024,LeftFoot,26774,Brighton,Brentford,0,0,2024-12-27 19:30:00,,None,13206
609779,87,BlockedShot,0.874000015258789,0.5990000152587891,0.05590132251381874,Matt O&#039;Riley,a,13206,OpenPlay,2024,LeftFoot,26782,Aston Villa,Brighton,2,2,2024-12-30 19:45:00,Jakub Moder,Cross,13206
609781,91,BlockedShot,0.8109999847412109,0.5309999847412109,0.049219679087400436,Matt O&#039;Riley,a,13206,OpenPlay,2024,LeftFoot,26782,Aston Villa,Brighton,2,2,2024-12-30 19:45:00,,None,13206
610083,33,BlockedShot,0.7630000305175781,0.62,0.0207761712372303,Matt O&#039;Riley,h,13206,OpenPlay,2024,LeftFoot,26794,Brighton,Arsenal,1,1,2025-01-04 17:30:00,,None,13206
613336,90,MissedShots,0.9019999694824219,0.455,0.029837489128112793,Matt O&#039;Riley,h,13206,OpenPlay,2024,Head,26824,Brighton,Everton,0,1,2025-01-25 15:00:00,Jan Paul van Hecke,Aerial,13206
