id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,season
646,Christian Eriksen,38,3160,10,7.38963361363858,2,6.088786491192877,97,84,4,0,M S,Tottenham,10,7.38963361363858,21.318573739379644,13.018114417791367,2014
646,Christian Eriksen,35,2950,6,5.512105284258723,13,9.80885074287653,100,115,2,0,M S,Tottenham,6,5.512105284258723,22.975154004991055,14.476944379508495,2015
646,Christian Eriksen,36,3181,8,8.864699277095497,15,11.74070107191801,133,112,0,0,M,Tottenham,8,8.864699277095497,22.943155393004417,10.891217955388129,2016
646,Christian Eriksen,37,3239,10,7.245935456827283,10,11.893049276433885,96,95,0,0,M,Tottenham,10,7.245935456827283,27.00611512362957,15.51144353300333,2017
646,Christian Eriksen,35,2772,8,5.66105136834085,12,7.882119428366423,83,73,3,0,M S,Tottenham,8,5.66105136834085,16.64577689766884,9.10017248429358,2018
646,Christian Eriksen,20,1075,2,1.7644310155883431,2,2.259517061058432,26,23,5,0,F M S,Tottenham,2,1.7644310155883431,4.081464676652104,1.7793747885152698,2019
646,Christian Eriksen,11,935,1,1.4037851188331842,4,3.7309530712664127,22,30,1,0,M S,Brentford,1,1.4037851188331842,4.987491987645626,2.9094995334744453,2021
646,Christian Eriksen,28,2094,1,4.86724331881851,8,4.558254588395357,38,36,3,0,F M S,Manchester United,1,4.86724331881851,16.041057281196117,10.682778850197792,2022
646,Christian Eriksen,22,1130,1,0.6886363411322236,2,2.3459482928738,13,27,1,0,M S,Manchester United,1,0.6886363411322236,5.237064341083169,3.57036822848022,2023
646,Christian Eriksen,12,630,0,0.15806697495281696,1,2.0844523794949055,3,16,2,0,M S,Manchester United,0,0.15806697495281696,4.9643323589116335,4.517812337726355,2024
646,Christian Eriksen,12,630,0,0.15806697495281696,1,2.0844523794949055,3,16,2,0,M S,Manchester United,0,0.15806697495281696,4.9643323589116335,4.517812337726355,2025
