id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction,ref_player_id
480125,52,BlockedShot,0.8419999694824218,0.43900001525878907,0.05154909938573837,Nathan Patterson,a,10292,FromCorner,2022,RightFoot,18212,Aston Villa,Everton,2,1,2022-08-13 11:30:00,,None,10292
480135,88,BlockedShot,0.7609999847412109,0.5020000076293946,0.018880100920796394,Nathan Patterson,a,10292,FromCorner,2022,RightFoot,18212,Aston Villa,Everton,2,1,2022-08-13 11:30:00,,None,10292
483726,86,MissedShots,0.8030000305175782,0.39799999237060546,0.03834180161356926,Nathan Patterson,a,10292,OpenPlay,2022,RightFoot,18233,Brentford,Everton,1,1,2022-08-27 14:00:00,,None,10292
484959,83,SavedShot,0.914000015258789,0.34799999237060547,0.32117798924446106,Nathan Patterson,a,10292,OpenPlay,2022,RightFoot,18245,Leeds,Everton,1,1,2022-08-30 19:00:00,Anthony Gordon,Throughball,10292
485647,62,BlockedShot,0.9159999847412109,0.3240000152587891,0.0668065994977951,Nathan Patterson,h,10292,OpenPlay,2022,RightFoot,18252,Everton,Liverpool,0,0,2022-09-03 11:30:00,Anthony Gordon,Pass,10292
500202,43,BlockedShot,0.7909999847412109,0.40299999237060546,0.024530399590730667,Nathan Patterson,a,10292,SetPiece,2022,RightFoot,18352,Bournemouth,Everton,3,0,2022-11-12 15:00:00,,None,10292
500210,62,MissedShots,0.815,0.509000015258789,0.046014800667762756,Nathan Patterson,a,10292,SetPiece,2022,LeftFoot,18352,Bournemouth,Everton,3,0,2022-11-12 15:00:00,,None,10292
500214,70,MissedShots,0.9740000152587891,0.38,0.26023799180984497,Nathan Patterson,a,10292,OpenPlay,2022,RightFoot,18352,Bournemouth,Everton,3,0,2022-11-12 15:00:00,Alex Iwobi,Cross,10292
532089,42,MissedShots,0.8630000305175781,0.3129999923706055,0.04702720418572426,Nathan Patterson,h,10292,OpenPlay,2023,LeftFoot,22279,Everton,Fulham,0,1,2023-08-12 14:00:00,Idrissa Gueye,Pass,10292
532094,59,BlockedShot,0.7030000305175781,0.42200000762939455,0.012792707420885563,Nathan Patterson,h,10292,FromCorner,2023,RightFoot,22279,Everton,Fulham,0,1,2023-08-12 14:00:00,,None,10292
532096,66,ShotOnPost,0.9390000152587891,0.3770000076293945,0.3760105073451996,Nathan Patterson,h,10292,OpenPlay,2023,RightFoot,22279,Everton,Fulham,0,1,2023-08-12 14:00:00,,None,10292
533740,58,BlockedShot,0.774000015258789,0.3370000076293945,0.016247248277068138,Nathan Patterson,a,10292,OpenPlay,2023,RightFoot,22292,Aston Villa,Everton,4,0,2023-08-20 13:00:00,Lewis Dobbin,BallTouch,10292
609894,71,MissedShots,0.8490000152587891,0.37799999237060544,0.07110223919153214,Nathan Patterson,a,10292,OpenPlay,2024,RightFoot,26792,Bournemouth,Everton,1,0,2025-01-04 15:00:00,Harrison Armstrong,TakeOn,10292
