goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,ref_player_id
0,0,0,1,Sub,Aston Villa,Everton,3,2,2015-05-02,4401,2014,23460,0,0,0,0,0,0,0,1004
0,0,0,18,Sub,Tottenham,Aston Villa,0,1,2015-04-11,4455,2014,24409,0.014996900223195553,0,1,0,0,0,0,1004
0,1,0.04473059996962547,18,Sub,Aston Villa,Queens Park Rangers,3,3,2015-04-07,4450,2014,25274,0,0,0,0,0.04473059996962547,0.11951400339603424,0.07478339970111847,1004
0,0,0,11,Sub,Manchester United,Aston Villa,3,1,2015-04-04,4443,2014,25096,0.06280980259180069,1,1,0,0,0,0,1004
0,0,0,29,Sub,Hull,Aston Villa,2,0,2015-02-10,4527,2014,27014,0,0,0,0,0,0,0,1004
0,0,0,7,Sub,Aston Villa,Chelsea,1,2,2015-02-07,4516,2014,27053,0,0,0,0,0,0,0,1004
0,1,0.022426100447773933,73,FWL,Leicester,Aston Villa,1,0,2015-01-10,4567,2014,20740,0.1270509958267212,0,1,0,0.022426100447773933,0.14324000477790833,0.1208140030503273,1004
0,0,0,6,Sub,Aston Villa,Crystal Palace,0,0,2015-01-01,4557,2014,22223,0,0,0,0,0,0,0,1004
0,0,0,8,MC,Crystal Palace,Aston Villa,0,1,2014-12-02,4593,2014,22203,0,0,0,0,0,0,0,1004
1,2,0.20979799330234528,68,FWR,Burnley,Aston Villa,1,1,2014-11-29,4685,2014,20085,0.2467460036277771,0,4,1,0.20979799330234528,0.39396798610687256,0.05770539864897728,1004
0,0,0,18,Sub,Queens Park Rangers,Aston Villa,2,0,2014-10-27,4718,2014,20389,0,0,0,0,0,0.008217819966375828,0.008217819966375828,1004
0,0,0,6,Sub,Everton,Aston Villa,3,0,2014-10-18,4700,2014,19068,0,0,0,0,0,0,0,1004
