id,isResult,side,h,a,goals,xG,datetime,forecast,result,ref_team_id
14094,True,h,"{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'h': '0', 'a': '2'}","{'h': '0.949316', 'a': '1.61307'}",2020-09-14 17:00:00,"{'w': 0.22197555131583024, 'd': 0.24890216679860533, 'l': 0.529122281664829}",l,238
14104,True,a,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'h': '1', 'a': '0'}","{'h': '0.80527', 'a': '0.849709'}",2020-09-21 17:00:00,"{'w': 0.31445103588945894, 'd': 0.34599529946777313, 'l': 0.3395536646427237}",l,238
14110,True,h,"{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'h': '0', 'a': '1'}","{'h': '1.53278', 'a': '1.46641'}",2020-09-27 11:00:00,"{'w': 0.3931482981641634, 'd': 0.24289324027896655, 'l': 0.3639584613858119}",l,238
14465,True,a,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'h': '2', 'a': '1'}","{'h': '0.667131', 'a': '0.144994'}",2020-10-04 13:00:00,"{'w': 0.4395102750415532, 'd': 0.4879031388833844, 'l': 0.0725865860750612}",l,238
14482,True,h,"{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'h': '1', 'a': '1'}","{'h': '1.66363', 'a': '1.35611'}",2020-10-18 11:00:00,"{'w': 0.447666702802782, 'd': 0.23903177451707092, 'l': 0.3133015223250445}",d,238
14490,True,a,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'h': '2', 'a': '1'}","{'h': '2.40286', 'a': '1.39788'}",2020-10-24 19:00:00,"{'w': 0.5971190612607881, 'd': 0.18969348792745663, 'l': 0.21318740901786085}",l,238
14502,True,h,"{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '0', 'a': '1'}","{'h': '0.687544', 'a': '1.89643'}",2020-10-31 12:30:00,"{'w': 0.1275474938154906, 'd': 0.21100642921550167, 'l': 0.6614460750490704}",l,238
14507,True,a,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'h': '4', 'a': '1'}","{'h': '2.87622', 'a': '0.743967'}",2020-11-07 17:30:00,"{'w': 0.8085827244507866, 'd': 0.12308033987972768, 'l': 0.06833653609123966}",l,238
14522,True,h,"{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '0', 'a': '1'}","{'h': '0.692374', 'a': '2.1142'}",2020-11-22 14:00:00,"{'w': 0.10950736928106303, 'd': 0.18697953437539744, 'l': 0.7035130883362846}",l,238
14527,True,a,"{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'h': '1', 'a': '0'}","{'h': '1.71644', 'a': '3.36544'}",2020-11-28 20:00:00,"{'w': 0.16404709780294496, 'd': 0.14237884114876134, 'l': 0.6935713789264858}",l,238
14541,True,h,"{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '1', 'a': '2'}","{'h': '0.290743', 'a': '1.3904'}",2020-12-06 14:15:00,"{'w': 0.07571744309968409, 'd': 0.269372381871185, 'l': 0.6549101749998888}",l,238
14551,True,a,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'h': '3', 'a': '0'}","{'h': '2.27973', 'a': '0.219115'}",2020-12-13 12:00:00,"{'w': 0.8459600884368881, 'd': 0.12865063665073412, 'l': 0.025389253642919014}",l,238
14560,True,h,"{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '2', 'a': '3'}","{'h': '1.23525', 'a': '1.78667'}",2020-12-17 20:00:00,"{'w': 0.26441755352506724, 'd': 0.23225445592770402, 'l': 0.5033279896720257}",l,238
14565,True,a,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'h': '1', 'a': '1'}","{'h': '2.90097', 'a': '1.03713'}",2020-12-20 12:00:00,"{'w': 0.7543958666411854, 'd': 0.14008225612999967, 'l': 0.10552143314345834}",d,238
14582,True,h,"{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '0', 'a': '1'}","{'h': '1.25106', 'a': '0.568803'}",2020-12-26 20:00:00,"{'w': 0.5314836232873121, 'd': 0.2995732526212887, 'l': 0.1689431240845674}",l,238
14587,True,a,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'h': '1', 'a': '0'}","{'h': '0.973831', 'a': '0.492578'}",2020-12-29 18:00:00,"{'w': 0.46275063757205404, 'd': 0.35544501328920286, 'l': 0.18180434913853677}",l,238
14604,True,a,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'h': '2', 'a': '0'}","{'h': '0.598888', 'a': '0.323158'}",2021-01-02 15:00:00,"{'w': 0.3554678871603786, 'd': 0.47847958534109813, 'l': 0.16605252749852303}",l,238
14610,True,h,"{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': '1', 'a': '0'}","{'h': '2.01315', 'a': '1.04745'}",2021-01-12 18:00:00,"{'w': 0.5972405153547607, 'd': 0.21171852664860166, 'l': 0.1910409537768554}",w,238
14622,True,h,"{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '1', 'a': '3'}","{'h': '0.978133', 'a': '1.28385'}",2021-01-17 14:00:00,"{'w': 0.2831827637112162, 'd': 0.28218487158553157, 'l': 0.4346323646932652}",l,238
14628,True,a,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'h': '1', 'a': '2'}","{'h': '0.9931', 'a': '0.689548'}",2021-01-27 20:15:00,"{'w': 0.4164305808016704, 'd': 0.33669333960931014, 'l': 0.24687607958874555}",w,238
