id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction,ref_player_id
286931,82,BlockedShot,0.7559999847412109,0.629000015258789,0.032099198549985886,Pedro Neto,h,6382,OpenPlay,2018,LeftFoot,9851,Lazio,Parma Calcio 1913,4,1,2019-03-17 14:00:00,Luis Alberto,Pass,6382
322707,54,SavedShot,0.8380000305175781,0.6170000076293946,0.06651780009269714,Pedro Neto,h,6382,OpenPlay,2019,RightFoot,11705,Wolverhampton Wanderers,Watford,2,0,2019-09-28 14:00:00,Raúl Jiménez,Pass,6382
327872,87,BlockedShot,0.759000015258789,0.629000015258789,0.02083509974181652,Pedro Neto,a,6382,OpenPlay,2019,LeftFoot,11738,Newcastle United,Wolverhampton Wanderers,1,1,2019-10-27 14:00:00,Adama Traoré,Pass,6382
329165,93,BlockedShot,0.8119999694824219,0.5429999923706055,0.055056799203157425,Pedro Neto,a,6382,OpenPlay,2019,LeftFoot,11743,Arsenal,Wolverhampton Wanderers,1,1,2019-11-02 15:00:00,Adama Traoré,Pass,6382
331444,92,MissedShots,0.9209999847412109,0.6659999847412109,0.42785000801086426,Pedro Neto,h,6382,OpenPlay,2019,LeftFoot,11760,Wolverhampton Wanderers,Aston Villa,2,1,2019-11-10 14:00:00,,TakeOn,6382
338665,82,BlockedShot,0.8580000305175781,0.6809999847412109,0.05843669921159744,Pedro Neto,a,6382,OpenPlay,2019,LeftFoot,11819,Norwich,Wolverhampton Wanderers,1,2,2019-12-21 15:00:00,Matt Doherty,Pass,6382
339937,56,MissedShots,0.7680000305175781,0.43599998474121093,0.024737099185585976,Pedro Neto,a,6382,OpenPlay,2019,LeftFoot,11836,Liverpool,Wolverhampton Wanderers,1,0,2019-12-29 16:30:00,Jonny,TakeOn,6382
351464,47,MissedShots,0.9169999694824219,0.705,0.044946201145648956,Pedro Neto,a,6382,OpenPlay,2019,LeftFoot,11852,Watford,Wolverhampton Wanderers,2,1,2020-01-01 15:00:00,João Moutinho,Pass,6382
351468,59,Goal,0.76,0.6790000152587891,0.017110200598835945,Pedro Neto,a,6382,OpenPlay,2019,LeftFoot,11852,Watford,Wolverhampton Wanderers,2,1,2020-01-01 15:00:00,João Moutinho,Pass,6382
351679,75,SavedShot,0.9640000152587891,0.575,0.3062860071659088,Pedro Neto,h,6382,OpenPlay,2019,Head,11853,Wolverhampton Wanderers,Newcastle United,1,1,2020-01-11 15:00:00,Leander Dendoncker,Chipped,6382
351950,52,Goal,0.919000015258789,0.45599998474121095,0.2957350015640259,Pedro Neto,a,6382,OpenPlay,2019,RightFoot,11870,Southampton,Wolverhampton Wanderers,2,3,2020-01-18 15:00:00,Adama Traoré,Cross,6382
351953,67,MissedShots,0.825,0.5220000076293946,0.05710669979453087,Pedro Neto,a,6382,OpenPlay,2019,LeftFoot,11870,Southampton,Wolverhampton Wanderers,2,3,2020-01-18 15:00:00,,None,6382
352335,47,BlockedShot,0.9030000305175782,0.6680000305175782,0.10538599640130997,Pedro Neto,h,6382,OpenPlay,2019,LeftFoot,11874,Wolverhampton Wanderers,Liverpool,1,2,2020-01-23 20:00:00,Raúl Jiménez,Pass,6382
352724,40,MissedShots,0.855,0.35700000762939454,0.058834899216890335,Pedro Neto,h,6382,OpenPlay,2019,LeftFoot,11902,Wolverhampton Wanderers,Leicester,0,0,2020-02-14 20:00:00,,BallRecovery,6382
365583,83,Goal,0.9159999847412109,0.6,0.09925760328769684,Pedro Neto,a,6382,OpenPlay,2019,LeftFoot,11934,West Ham,Wolverhampton Wanderers,0,2,2020-06-20 16:30:00,Matt Doherty,Cross,6382
366336,76,BlockedShot,0.860999984741211,0.3039999961853027,0.04705379903316498,Pedro Neto,h,6382,OpenPlay,2019,LeftFoot,11947,Wolverhampton Wanderers,Bournemouth,1,0,2020-06-24 17:00:00,Matt Doherty,Pass,6382
366340,94,MissedShots,0.884000015258789,0.6419999694824219,0.1294579952955246,Pedro Neto,h,6382,OpenPlay,2019,LeftFoot,11947,Wolverhampton Wanderers,Bournemouth,1,0,2020-06-24 17:00:00,Romain Saiss,None,6382
371457,88,SavedShot,0.924000015258789,0.315,0.07884009927511215,Pedro Neto,a,6382,OpenPlay,2019,RightFoot,11994,Burnley,Wolverhampton Wanderers,1,1,2020-07-15 17:00:00,Adama Traoré,Pass,6382
378528,15,BlockedShot,0.789000015258789,0.5640000152587891,0.034228600561618805,Pedro Neto,h,6382,OpenPlay,2020,LeftFoot,14105,Wolverhampton Wanderers,Manchester City,1,3,2020-09-21 19:15:00,Daniel Podence,Pass,6382
378544,73,BlockedShot,0.8030000305175782,0.46700000762939453,0.05115389823913574,Pedro Neto,h,6382,OpenPlay,2020,LeftFoot,14105,Wolverhampton Wanderers,Manchester City,1,3,2020-09-21 19:15:00,Conor Coady,Pass,6382
379787,27,MissedShots,0.7390000152587891,0.3509999847412109,0.01789120025932789,Pedro Neto,a,6382,OpenPlay,2020,LeftFoot,14113,West Ham,Wolverhampton Wanderers,4,0,2020-09-27 18:00:00,João Moutinho,Pass,6382
379808,86,MissedShots,0.7480000305175781,0.3110000038146973,0.01211019977927208,Pedro Neto,a,6382,OpenPlay,2020,RightFoot,14113,West Ham,Wolverhampton Wanderers,4,0,2020-09-27 18:00:00,Fabio Silva,Pass,6382
381214,26,SavedShot,0.7909999847412109,0.63,0.03140610083937645,Pedro Neto,h,6382,OpenPlay,2020,RightFoot,14474,Wolverhampton Wanderers,Fulham,1,0,2020-10-04 13:00:00,,BallRecovery,6382
381223,55,Goal,0.85,0.615,0.049653198570013046,Pedro Neto,h,6382,OpenPlay,2020,LeftFoot,14474,Wolverhampton Wanderers,Fulham,1,0,2020-10-04 13:00:00,,Rebound,6382
381230,77,BlockedShot,0.7680000305175781,0.45,0.03874719887971878,Pedro Neto,h,6382,OpenPlay,2020,LeftFoot,14474,Wolverhampton Wanderers,Fulham,1,0,2020-10-04 13:00:00,,None,6382
382941,73,BlockedShot,0.8880000305175781,0.759000015258789,0.03852209821343422,Pedro Neto,a,6382,OpenPlay,2020,LeftFoot,14478,Leeds,Wolverhampton Wanderers,0,1,2020-10-19 19:00:00,Adama Traoré,Pass,6382
384005,50,MissedShots,0.8640000152587891,0.49900001525878906,0.10541299730539322,Pedro Neto,h,6382,OpenPlay,2020,RightFoot,14494,Wolverhampton Wanderers,Newcastle United,1,1,2020-10-25 16:30:00,Daniel Podence,Pass,6382
384006,52,MissedShots,0.750999984741211,0.43099998474121093,0.02113570086658001,Pedro Neto,h,6382,OpenPlay,2020,LeftFoot,14494,Wolverhampton Wanderers,Newcastle United,1,1,2020-10-25 16:30:00,Raúl Jiménez,Pass,6382
384012,70,BlockedShot,0.754000015258789,0.5940000152587891,0.02136719971895218,Pedro Neto,h,6382,OpenPlay,2020,LeftFoot,14494,Wolverhampton Wanderers,Newcastle United,1,1,2020-10-25 16:30:00,Rúben Neves,Pass,6382
384013,75,BlockedShot,0.8530000305175781,0.5670000076293945,0.08180420100688934,Pedro Neto,h,6382,OpenPlay,2020,LeftFoot,14494,Wolverhampton Wanderers,Newcastle United,1,1,2020-10-25 16:30:00,Fernando Marçal,Pass,6382
386629,54,SavedShot,0.8530000305175781,0.6790000152587891,0.07235579937696457,Pedro Neto,a,6382,OpenPlay,2020,LeftFoot,14510,Leicester,Wolverhampton Wanderers,1,0,2020-11-08 14:00:00,Daniel Podence,Pass,6382
388397,70,BlockedShot,0.87,0.6170000076293946,0.07738889753818512,Pedro Neto,h,6382,OpenPlay,2020,LeftFoot,14524,Wolverhampton Wanderers,Southampton,1,1,2020-11-23 20:00:00,Daniel Podence,Pass,6382
388401,74,Goal,0.91,0.544000015258789,0.43161898851394653,Pedro Neto,h,6382,OpenPlay,2020,LeftFoot,14524,Wolverhampton Wanderers,Southampton,1,1,2020-11-23 20:00:00,,Rebound,6382
