id,title,history
71,Aston Villa,"{'h_a': ['a', 'h', 'a', 'h', 'a', 'h', 'h', 'a', 'a', 'h', 'a', 'h', 'a', 'h', 'a', 'h', 'a', 'h', 'h', 'a', 'h', 'a', 'h', 'a', 'h', 'a', 'h', 'a', 'a', 'h', 'h', 'a', 'h', 'a', 'a', 'h', 'a', 'h'], 'xG': [0.488895, 2.66696, 0.803828, 0.304555, 0.297168, 0.279392, 1.34365, 1.89645, 0.657187, 2.44542, 0.711487, 3.45617, 0.270814, 0.578563, 1.15437, 1.69155, 1.21733, 1.03226, 1.64599, 1.16432, 1.4989, 0.275348, 0.335752, 2.06037, 0.890605, 1.99139, 3.45474, 0.765794, 1.00159, 1.42718, 1.91802, 1.66602, 0.839159, 0.434738, 1.50158, 1.79987, 1.46948, 2.55845], 'xGA': [0.588341, 1.37507, 2.91137, 0.334589, 2.79971, 1.92143, 0.218302, 0.298626, 0.221346, 1.23643, 2.892, 1.00462, 4.18808, 0.517189, 0.829107, 3.50694, 0.569383, 0.832522, 2.46295, 0.672444, 2.49784, 3.60987, 2.85981, 1.54109, 0.152761, 2.14634, 0.50014, 2.38024, 0.671597, 0.232452, 0.425086, 2.03162, 0.079864, 1.3056, 0.80605, 1.18505, 0.918508, 1.23117], 'npxG': [0.488895, 2.66696, 0.803828, 0.304555, 0.297168, 0.279392, 1.34365, 1.89645, 0.657187, 2.44542, 0.711487, 2.695, 0.270814, 0.578563, 0.393198, 1.69155, 1.21733, 1.03226, 1.64599, 1.16432, 1.4989, 0.275348, 0.335752, 1.2992, 0.890605, 1.99139, 3.45474, 0.765794, 1.00159, 1.42718, 1.91802, 1.66602, 0.839159, 0.434738, 1.50158, 1.79987, 0.708313, 2.55845], 'npxGA': [0.588341, 1.37507, 2.00662, 0.334589, 2.79971, 1.92143, 0.218302, 0.298626, 0.221346, 1.23643, 2.13083, 1.00462, 3.42692, 0.517189, 0.829107, 3.50694, 0.569383, 0.832522, 2.46295, 0.672444, 2.49784, 2.8487, 2.85981, 1.54109, 0.152761, 1.38517, 0.50014, 2.38024, 0.671597, 0.232452, 0.425086, 2.03162, 0.079864, 1.3056, 0.80605, 0.423878, 0.918508, 1.23117], 'ppda_att': [152, 214, 252, 243, 278, 483, 232, 230, 157, 379, 279, 208, 280, 270, 295, 330, 311, 243, 149, 159, 193, 354, 279, 165, 223, 230, 206, 295, 156, 115, 188, 133, 245, 331, 150, 271, 279, 258], 'ppda_def': [23, 23, 34, 18, 19, 11, 39, 24, 22, 27, 15, 29, 16, 15, 18, 11, 18, 13, 20, 21, 25, 15, 19, 15, 26, 10, 25, 24, 15, 19, 27, 16, 16, 14, 21, 26, 22, 31], 'ppda_allowed_att': [292, 242, 251, 351, 168, 149, 201, 240, 278, 203, 169, 162, 193, 252, 159, 271, 226, 274, 255, 337, 360, 178, 174, 270, 348, 334, 272, 159, 276, 285, 219, 240, 260, 239, 234, 213, 117, 130], 'ppda_allowed_def': [25, 13, 18, 20, 17, 11, 25, 18, 11, 15, 15, 22, 18, 23, 32, 22, 22, 20, 41, 28, 27, 22, 19, 38, 37, 27, 35, 35, 27, 23, 38, 26, 32, 25, 28, 24, 38, 22], 'deep': [11, 13, 3, 4, 3, 2, 6, 12, 9, 6, 2, 9, 2, 5, 6, 5, 7, 4, 5, 8, 15, 4, 2, 5, 8, 10, 16, 2, 11, 8, 12, 4, 7, 4, 7, 10, 2, 9], 'deep_allowed': [3, 4, 8, 3, 18, 12, 2, 6, 0, 5, 8, 3, 15, 10, 7, 8, 6, 2, 1, 4, 5, 7, 14, 9, 0, 3, 5, 19, 2, 1, 6, 7, 1, 12, 2, 6, 10, 3], 'scored': [0, 2, 1, 0, 1, 1, 1, 0, 1, 0, 0, 4, 0, 3, 2, 1, 2, 1, 2, 1, 2, 1, 2, 2, 1, 1, 3, 2, 2, 2, 3, 1, 1, 0, 0, 2, 1, 2], 'missed': [2, 1, 3, 1, 2, 1, 0, 0, 1, 2, 3, 0, 4, 1, 1, 3, 0, 1, 1, 0, 4, 3, 4, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1], 'xpts': [1.1566999999999998, 2.3254, 0.2122, 1.1528, 0.08940000000000001, 0.2217, 2.4747, 2.6060000000000003, 1.7468, 2.2306, 0.1854, 2.8011, 0.011300000000000001, 1.3351, 1.6934, 0.4063, 1.9871, 1.5178999999999998, 0.8034999999999999, 1.7348, 0.6897, 0.028499999999999998, 0.1094, 1.7866, 2.0777, 1.2802, 2.8841, 0.3856, 1.6521, 2.4333, 2.5232, 1.1498000000000002, 2.0634, 0.6027, 1.9155000000000002, 1.8896000000000002, 1.8779, 2.3253], 'result': ['l', 'w', 'l', 'l', 'l', 'd', 'w', 'd', 'd', 'l', 'l', 'w', 'l', 'w', 'w', 'l', 'w', 'd', 'w', 'w', 'l', 'l', 'l', 'w', 'w', 'd', 'w', 'w', 'w', 'w', 'w', 'd', 'w', 'l', 'l', 'w', 'd', 'w'], 'date': ['2022-08-06 14:00:00', '2022-08-13 11:30:00', '2022-08-20 14:00:00', '2022-08-28 13:00:00', '2022-08-31 18:30:00', '2022-09-03 16:30:00', '2022-09-16 19:00:00', '2022-10-02 15:30:00', '2022-10-10 19:00:00', '2022-10-16 13:00:00', '2022-10-20 18:30:00', '2022-10-23 13:00:00', '2022-10-29 14:00:00', '2022-11-06 14:00:00', '2022-11-13 14:00:00', '2022-12-26 17:30:00', '2023-01-01 14:00:00', '2023-01-04 20:00:00', '2023-01-13 20:00:00', '2023-01-21 15:00:00', '2023-02-04 15:00:00', '2023-02-12 16:30:00', '2023-02-18 12:30:00', '2023-02-25 15:00:00', '2023-03-04 15:00:00', '2023-03-12 14:00:00', '2023-03-18 15:00:00', '2023-04-01 16:30:00', '2023-04-04 18:45:00', '2023-04-08 14:00:00', '2023-04-15 11:30:00', '2023-04-22 14:00:00', '2023-04-25 18:45:00', '2023-04-30 13:00:00', '2023-05-06 14:00:00', '2023-05-13 14:00:00', '2023-05-20 14:00:00', '2023-05-28 15:30:00'], 'wins': [0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1], 'draws': [0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0], 'loses': [1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0], 'pts': [0, 3, 0, 0, 0, 1, 3, 1, 1, 0, 0, 3, 0, 3, 3, 0, 3, 1, 3, 3, 0, 0, 0, 3, 3, 1, 3, 3, 3, 3, 3, 1, 3, 0, 0, 3, 1, 3], 'npxGD': [-0.09944599999999998, 1.29189, -1.2027919999999999, -0.030034000000000005, -2.502542, -1.6420379999999999, 1.125348, 1.597824, 0.435841, 1.20899, -1.419343, 1.6903799999999998, -3.156106, 0.06137400000000004, -0.43590900000000005, -1.81539, 0.647947, 0.19973799999999997, -0.8169600000000001, 0.491876, -0.9989400000000002, -2.573352, -2.524058, -0.24189000000000016, 0.7378439999999999, 0.60622, 2.9546, -1.614446, 0.329993, 1.194728, 1.492934, -0.36560000000000015, 0.7592949999999999, -0.870862, 0.6955299999999999, 1.375992, -0.21019500000000002, 1.32728]}"
72,Everton,"{'h_a': ['h', 'a', 'h', 'a', 'a', 'h', 'h', 'a', 'h', 'a', 'a', 'h', 'a', 'h', 'a', 'h', 'a', 'h', 'h', 'a', 'h', 'a', 'h', 'h', 'a', 'a', 'h', 'a', 'h', 'a', 'h', 'a', 'h', 'a', 'a', 'h', 'a', 'h'], 'xG': [0.541983, 1.37507, 1.43408, 1.65465, 1.17189, 1.39169, 0.39773, 1.99979, 0.365844, 0.560039, 0.0609567, 1.93396, 1.19166, 1.3729, 0.768756, 1.22653, 0.0760019, 1.16896, 1.18191, 0.286826, 2.09191, 0.402331, 1.53811, 1.54109, 1.604, 1.70877, 1.71599, 1.64675, 0.823365, 0.949183, 2.24262, 0.433712, 0.777008, 3.28648, 2.94223, 1.18597, 2.46976, 1.12933], 'xGA': [1.92315, 2.66696, 0.918315, 2.28391, 1.04551, 1.38617, 0.655351, 1.95961, 1.82612, 2.49409, 1.13393, 0.597167, 1.76438, 2.2679, 2.45642, 1.22076, 2.36333, 2.50731, 1.08412, 2.46879, 0.690102, 2.23291, 0.597403, 2.06037, 3.06919, 0.799733, 1.95088, 1.90027, 1.39177, 4.38578, 1.92209, 0.368137, 2.86368, 3.32486, 3.23717, 1.04338, 1.28976, 0.432084], 'npxG': [0.541983, 1.37507, 1.43408, 1.65465, 1.17189, 1.39169, 0.39773, 1.99979, 0.365844, 0.560039, 0.0609567, 1.93396, 1.19166, 1.3729, 0.768756, 1.22653, 0.0760019, 0.407788, 1.18191, 0.286826, 2.09191, 0.402331, 1.53811, 1.54109, 1.604, 0.947603, 1.71599, 1.64675, 0.823365, 0.949183, 2.24262, 0.433712, 0.777008, 2.52531, 2.94223, 1.18597, 2.46976, 1.12933], 'npxGA': [1.16198, 2.66696, 0.918315, 2.28391, 1.04551, 1.38617, 0.655351, 1.95961, 1.82612, 1.73292, 1.13393, 0.597167, 1.76438, 2.2679, 2.45642, 1.22076, 2.36333, 2.50731, 1.08412, 2.46879, 0.690102, 2.23291, 0.597403, 1.2992, 3.06919, 0.799733, 1.95088, 1.1391, 0.630599, 4.38578, 1.92209, 0.368137, 2.86368, 2.56369, 3.23717, 1.04338, 1.28976, 0.432084], 'ppda_att': [264, 242, 242, 261, 341, 254, 201, 231, 338, 351, 218, 280, 249, 338, 143, 189, 339, 335, 183, 200, 378, 389, 193, 270, 418, 261, 299, 311, 367, 342, 217, 194, 250, 226, 341, 381, 289, 361], 'ppda_def': [22, 13, 13, 15, 25, 11, 13, 16, 17, 14, 20, 29, 11, 15, 26, 22, 10, 15, 14, 19, 21, 27, 19, 38, 19, 33, 26, 24, 29, 28, 16, 22, 22, 26, 20, 15, 32, 26], 'ppda_allowed_att': [161, 214, 221, 207, 164, 146, 239, 194, 202, 250, 249, 206, 223, 236, 314, 329, 145, 318, 171, 424, 104, 262, 206, 165, 130, 145, 109, 107, 155, 149, 202, 151, 126, 158, 104, 223, 172, 149], 'ppda_allowed_def': [26, 23, 14, 18, 28, 24, 21, 21, 23, 20, 26, 24, 20, 15, 14, 35, 29, 15, 25, 20, 18, 24, 17, 15, 17, 21, 18, 15, 18, 14, 15, 16, 14, 21, 34, 13, 21, 20], 'deep': [3, 4, 8, 7, 3, 10, 3, 4, 7, 0, 5, 5, 2, 12, 7, 4, 2, 4, 4, 4, 4, 3, 7, 9, 5, 12, 0, 1, 7, 4, 5, 3, 6, 9, 10, 1, 9, 4], 'deep_allowed': [7, 13, 1, 9, 9, 12, 2, 12, 8, 8, 8, 4, 11, 11, 8, 6, 13, 4, 8, 3, 11, 7, 6, 5, 13, 5, 7, 9, 9, 18, 8, 5, 9, 5, 16, 9, 6, 4], 'scored': [0, 1, 1, 1, 1, 0, 1, 2, 1, 0, 0, 3, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 2, 1, 2, 1, 0, 1, 0, 1, 2, 5, 0, 1, 1], 'missed': [1, 2, 1, 1, 1, 0, 0, 1, 2, 2, 1, 0, 0, 2, 3, 2, 1, 4, 2, 2, 0, 2, 0, 2, 4, 2, 0, 2, 1, 2, 3, 0, 4, 2, 1, 3, 1, 0], 'xpts': [0.3517, 0.4885, 1.7744, 0.911, 1.4663, 1.3898, 1.0071, 1.4327, 0.3113, 0.2183, 0.3695, 2.4649, 0.9375, 0.8298, 0.3039, 1.3318, 0.076, 0.4971, 1.4442, 0.0847, 2.4711, 0.2119, 2.1601, 0.9604, 0.4507, 2.1548, 1.1757, 1.1829, 0.8078000000000001, 0.1005, 1.6252, 1.3073000000000001, 0.178, 1.3268, 1.2187000000000001, 1.4578, 2.217, 2.016], 'result': ['l', 'l', 'd', 'd', 'd', 'd', 'w', 'w', 'l', 'l', 'l', 'w', 'd', 'l', 'l', 'l', 'd', 'l', 'l', 'l', 'w', 'l', 'w', 'l', 'l', 'd', 'w', 'd', 'd', 'l', 'l', 'd', 'l', 'd', 'w', 'l', 'd', 'w'], 'date': ['2022-08-06 16:30:00', '2022-08-13 11:30:00', '2022-08-20 14:00:00', '2022-08-27 14:00:00', '2022-08-30 19:00:00', '2022-09-03 11:30:00', '2022-09-18 13:15:00', '2022-10-01 14:00:00', '2022-10-09 18:00:00', '2022-10-15 16:30:00', '2022-10-19 18:30:00', '2022-10-22 14:00:00', '2022-10-29 16:30:00', '2022-11-05 17:30:00', '2022-11-12 15:00:00', '2022-12-26 15:00:00', '2022-12-31 15:00:00', '2023-01-03 19:45:00', '2023-01-14 15:00:00', '2023-01-21 15:00:00', '2023-02-04 12:30:00', '2023-02-13 20:00:00', '2023-02-18 15:00:00', '2023-02-25 15:00:00', '2023-03-01 20:00:00', '2023-03-05 14:00:00', '2023-03-11 15:00:00', '2023-03-18 17:30:00', '2023-04-03 19:00:00', '2023-04-08 11:30:00', '2023-04-15 14:00:00', '2023-04-22 14:00:00', '2023-04-27 18:45:00', '2023-05-01 19:00:00', '2023-05-08 16:30:00', '2023-05-14 13:00:00', '2023-05-20 14:00:00', '2023-05-28 15:30:00'], 'wins': [0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1], 'draws': [0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0], 'loses': [1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0], 'pts': [0, 0, 1, 1, 1, 1, 3, 3, 0, 0, 0, 3, 1, 0, 0, 0, 1, 0, 0, 0, 3, 0, 3, 0, 0, 1, 3, 1, 1, 0, 0, 1, 0, 1, 3, 0, 1, 3], 'npxGD': [-0.619997, -1.29189, 0.515765, -0.6292600000000002, 0.12638000000000016, 0.005520000000000191, -0.25762100000000004, 0.04017999999999988, -1.460276, -1.172881, -1.0729733000000001, 1.336793, -0.5727200000000001, -0.895, -1.687664, 0.005769999999999831, -2.2873281, -2.099522, 0.09779000000000004, -2.181964, 1.401808, -1.830579, 0.9407070000000001, 0.24189000000000016, -1.4651899999999998, 0.14786999999999995, -0.23489000000000004, 0.5076499999999999, 0.192766, -3.4365969999999995, 0.32053, 0.065575, -2.086672, -0.03837999999999964, -0.29494, 0.14259, 1.18, 0.6972459999999999]}"
73,Bournemouth,"{'h_a': ['h', 'a', 'h', 'a', 'h', 'a', 'a', 'h', 'h', 'a', 'h', 'a', 'h', 'a', 'h', 'a', 'h', 'a', 'a', 'h', 'a', 'h', 'a', 'h', 'a', 'h', 'a', 'h', 'h', 'a', 'a', 'h', 'a', 'h', 'h', 'a', 'h', 'a'], 'xG': [0.588341, 0.123946, 0.211335, 0.180991, 0.362035, 0.905041, 0.976948, 0.758128, 1.14891, 1.62829, 0.810452, 0.730443, 0.887533, 1.55594, 2.45642, 0.44307, 0.895819, 0.679022, 0.269283, 1.80549, 0.908298, 1.54458, 1.15274, 1.08527, 1.74267, 1.10128, 0.50014, 3.14054, 1.15322, 1.92396, 1.20598, 0.974687, 0.988554, 2.51723, 1.21755, 0.262022, 0.815723, 0.432084], 'xGA': [0.488895, 1.69064, 1.71081, 4.86035, 1.53246, 1.32895, 1.54758, 1.046, 1.18125, 1.61738, 1.23878, 1.97715, 2.1946, 2.22532, 0.768756, 1.91378, 1.75264, 2.97383, 1.29815, 1.57544, 2.55696, 1.54853, 0.911415, 2.98206, 2.46279, 2.13465, 3.45474, 0.601049, 2.63392, 0.731965, 2.30604, 2.52322, 0.477034, 1.33691, 1.76852, 1.40237, 1.71783, 1.12933], 'npxG': [0.588341, 0.123946, 0.211335, 0.180991, 0.362035, 0.905041, 0.976948, 0.758128, 1.14891, 1.62829, 0.810452, 0.730443, 0.887533, 1.55594, 2.45642, 0.44307, 0.895819, 0.679022, 0.269283, 1.80549, 0.908298, 1.54458, 1.15274, 1.08527, 1.74267, 1.10128, 0.50014, 3.14054, 1.15322, 1.92396, 1.20598, 0.974687, 0.988554, 2.51723, 1.21755, 0.262022, 0.815723, 0.432084], 'npxGA': [0.488895, 1.69064, 1.71081, 4.86035, 1.53246, 0.567779, 0.786407, 1.046, 1.18125, 0.856206, 1.23878, 1.21598, 2.1946, 1.46415, 0.768756, 1.91378, 1.75264, 2.97383, 0.536983, 1.57544, 2.55696, 1.54853, 0.911415, 2.98206, 2.46279, 1.37349, 3.45474, 0.601049, 2.63392, 0.731965, 2.30604, 2.52322, 0.477034, 1.33691, 1.76852, 1.40237, 1.71783, 1.12933], 'ppda_att': [292, 307, 360, 355, 317, 251, 285, 305, 338, 299, 247, 298, 329, 200, 314, 367, 141, 337, 213, 273, 349, 310, 361, 453, 213, 358, 272, 289, 391, 235, 250, 159, 276, 251, 309, 307, 300, 149], 'ppda_def': [25, 6, 23, 12, 18, 16, 14, 16, 9, 20, 21, 19, 16, 13, 14, 24, 20, 14, 21, 14, 15, 20, 17, 14, 15, 13, 35, 24, 34, 22, 19, 17, 27, 20, 16, 23, 15, 20], 'ppda_allowed_att': [152, 231, 218, 160, 164, 232, 123, 191, 243, 132, 273, 249, 184, 157, 143, 178, 253, 226, 221, 170, 132, 124, 132, 212, 80, 135, 206, 183, 187, 207, 196, 308, 205, 213, 146, 272, 291, 361], 'ppda_allowed_def': [23, 19, 25, 18, 24, 17, 29, 25, 28, 16, 20, 22, 10, 33, 26, 17, 26, 21, 17, 17, 19, 27, 20, 28, 20, 27, 25, 26, 17, 17, 22, 22, 26, 31, 23, 19, 22, 26], 'deep': [3, 0, 1, 4, 7, 10, 5, 6, 7, 4, 8, 4, 3, 5, 8, 4, 8, 2, 2, 10, 2, 4, 4, 4, 3, 1, 5, 10, 7, 7, 5, 8, 5, 8, 9, 5, 8, 4], 'deep_allowed': [11, 11, 8, 18, 14, 6, 18, 9, 8, 8, 6, 7, 10, 8, 7, 7, 8, 13, 3, 5, 15, 6, 11, 15, 31, 12, 16, 6, 13, 5, 8, 8, 5, 9, 13, 9, 12, 4], 'scored': [2, 0, 0, 0, 0, 3, 1, 0, 2, 2, 0, 0, 2, 3, 3, 0, 0, 0, 0, 1, 0, 1, 1, 1, 2, 1, 0, 2, 0, 1, 3, 0, 1, 4, 1, 0, 0, 0], 'missed': [0, 4, 3, 9, 0, 2, 1, 0, 1, 2, 1, 2, 3, 4, 0, 2, 2, 3, 2, 1, 1, 1, 0, 4, 3, 0, 3, 1, 2, 0, 2, 4, 0, 1, 3, 2, 1, 1], 'xpts': [1.4036, 0.2243, 0.242, 0.0017000000000000001, 0.4185, 0.9244000000000001, 0.8562000000000001, 1.0694, 1.2888, 1.3628, 0.9384, 0.4172, 0.5073, 0.8761000000000001, 2.5623, 0.33640000000000003, 0.639, 0.1705, 0.3588, 1.5412, 0.3349, 1.3287, 1.6663000000000001, 0.2773, 0.9178, 0.5911, 0.0734, 2.8838999999999997, 0.4467, 2.2461, 0.6973, 0.43679999999999997, 1.7941, 2.2065000000000006, 0.9384999999999999, 0.38649999999999995, 0.6884, 0.681], 'result': ['w', 'l', 'l', 'l', 'd', 'w', 'd', 'd', 'w', 'd', 'l', 'l', 'l', 'l', 'w', 'l', 'l', 'l', 'l', 'd', 'l', 'd', 'w', 'l', 'l', 'w', 'l', 'w', 'l', 'w', 'w', 'l', 'w', 'w', 'l', 'l', 'l', 'l'], 'date': ['2022-08-06 14:00:00', '2022-08-13 14:00:00', '2022-08-20 16:30:00', '2022-08-27 14:00:00', '2022-08-31 18:30:00', '2022-09-03 14:00:00', '2022-09-17 14:00:00', '2022-10-01 14:00:00', '2022-10-08 14:00:00', '2022-10-15 14:00:00', '2022-10-19 18:30:00', '2022-10-24 19:00:00', '2022-10-29 14:00:00', '2022-11-05 15:00:00', '2022-11-12 15:00:00', '2022-12-27 17:30:00', '2022-12-31 15:00:00', '2023-01-03 20:00:00', '2023-01-14 17:30:00', '2023-01-21 15:00:00', '2023-02-04 15:00:00', '2023-02-11 17:30:00', '2023-02-18 15:00:00', '2023-02-25 17:30:00', '2023-03-04 15:00:00', '2023-03-11 12:30:00', '2023-03-18 15:00:00', '2023-04-01 14:00:00', '2023-04-04 18:45:00', '2023-04-08 14:00:00', '2023-04-15 14:00:00', '2023-04-23 13:00:00', '2023-04-27 18:45:00', '2023-04-30 13:00:00', '2023-05-06 14:00:00', '2023-05-13 14:00:00', '2023-05-20 14:00:00', '2023-05-28 15:30:00'], 'wins': [1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0], 'draws': [0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'loses': [0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1], 'pts': [3, 0, 0, 0, 1, 3, 1, 1, 3, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 0, 1, 3, 0, 0, 3, 0, 3, 0, 3, 3, 0, 3, 3, 0, 0, 0, 0], 'npxGD': [0.09944599999999998, -1.566694, -1.499475, -4.679359000000001, -1.1704249999999998, 0.33726199999999995, 0.19054100000000007, -0.287872, -0.03233999999999981, 0.772084, -0.42832800000000004, -0.4855370000000001, -1.307067, 0.09179000000000004, 1.687664, -1.47071, -0.8568209999999999, -2.2948079999999997, -0.2677, 0.2300500000000001, -1.648662, -0.003949999999999898, 0.24132500000000012, -1.8967900000000002, -0.7201200000000001, -0.27221000000000006, -2.9546, 2.539491, -1.4807, 1.191995, -1.1000599999999998, -1.548533, 0.51152, 1.18032, -0.5509700000000002, -1.140348, -0.902107, -0.6972459999999999]}"
