id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction,ref_player_id
57589,13,BlockedShot,0.9109999847412109,0.5559999847412109,0.10157600045204163,Craig Cathcart,a,581,FromCorner,2015,RightFoot,117,Manchester City,Watford,2,0,2015-08-29 18:00:00,,None,581
54927,84,SavedShot,0.7240000152587891,0.39,0.011861800216138363,Craig Cathcart,a,581,OpenPlay,2015,RightFoot,284,Southampton,Watford,2,0,2016-01-13 23:45:00,,BallRecovery,581
52438,5,MissedShots,0.9180000305175782,0.4909999847412109,0.09791550040245056,Craig Cathcart,h,581,FromCorner,2015,Head,307,Watford,Newcastle United,2,1,2016-01-23 19:00:00,Ben Watson,Cross,581
52448,57,Goal,0.9169999694824219,0.48,0.461234986782074,Craig Cathcart,h,581,SetPiece,2015,LeftFoot,307,Watford,Newcastle United,2,1,2016-01-23 19:00:00,Odion Ighalo,LayOff,581
59864,23,BlockedShot,0.759000015258789,0.61,0.01414989959448576,Craig Cathcart,a,581,SetPiece,2015,RightFoot,416,West Ham,Watford,3,1,2016-04-20 22:45:00,,None,581
56405,36,OwnGoal,0.08699999809265137,0.4370000076293945,0,Craig Cathcart,a,581,OpenPlay,2015,RightFoot,448,Norwich,Watford,4,2,2016-05-11 22:45:00,,Challenge,581
118829,76,MissedShots,0.8780000305175781,0.41,0.016404099762439728,Craig Cathcart,a,581,FromCorner,2016,Head,3360,Arsenal,Watford,1,2,2017-01-31 22:45:00,Etienne Capoue,Cross,581
119847,43,SavedShot,0.9069999694824219,0.4640000152587891,0.06829600036144257,Craig Cathcart,h,581,FromCorner,2016,Head,3439,Watford,Sunderland,1,0,2017-04-01 15:00:00,Tom Cleverley,Cross,581
120389,10,MissedShots,0.9280000305175782,0.3370000076293945,0.059164900332689285,Craig Cathcart,a,581,SetPiece,2016,LeftFoot,3453,Tottenham,Watford,4,0,2017-04-08 12:30:00,,None,581
210423,23,SavedShot,0.909000015258789,0.5709999847412109,0.10742899775505066,Craig Cathcart,h,581,FromCorner,2017,RightFoot,7467,Watford,Crystal Palace,0,0,2018-04-21 14:00:00,,Rebound,581
