id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction,ref_player_id
51,11,Goal,0.8969999694824219,0.534000015258789,0.3234950006008148,N&#039;Golo Kanté,a,751,OpenPlay,2014,RightFoot,6187,Evian Thonon Gaillard,Caen,0,3,2014-08-09 20:00:00,Lenny Nangis,Cross,751
241,6,MissedShots,0.805,0.28299999237060547,0.019214700907468796,N&#039;Golo Kanté,h,751,OpenPlay,2014,RightFoot,6195,Caen,Lille,0,1,2014-08-15 19:30:00,,None,751
625,12,MissedShots,0.7340000152587891,0.4259999847412109,0.015745600685477257,N&#039;Golo Kanté,a,751,OpenPlay,2014,RightFoot,6209,Reims,Caen,0,2,2014-08-23 19:00:00,Bangaly-Fodé Koita,Pass,751
640,60,SavedShot,0.8630000305175781,0.5470000076293945,0.07696910202503204,N&#039;Golo Kanté,a,751,OpenPlay,2014,RightFoot,6209,Reims,Caen,0,2,2014-08-23 19:00:00,,None,751
648,82,Goal,0.84,0.4640000152587891,0.07765380293130875,N&#039;Golo Kanté,a,751,OpenPlay,2014,RightFoot,6209,Reims,Caen,0,2,2014-08-23 19:00:00,Herve Bazile,Pass,751
1492,43,BlockedShot,0.7340000152587891,0.24600000381469728,0.009402739815413952,N&#039;Golo Kanté,h,751,OpenPlay,2014,LeftFoot,6173,Caen,Paris Saint Germain,0,2,2014-09-24 20:00:00,Jordan Adeoti,Dispossessed,751
1994,27,MissedShots,0.7080000305175781,0.6609999847412109,0.017792299389839172,N&#039;Golo Kanté,a,751,OpenPlay,2014,RightFoot,6182,Lens,Caen,0,0,2014-09-28 16:00:00,Dennis Appiah,Pass,751
1520,35,MissedShots,0.8130000305175781,0.48200000762939454,0.058660998940467834,N&#039;Golo Kanté,a,751,SetPiece,2014,LeftFoot,6132,Bordeaux,Caen,1,1,2014-10-19 16:00:00,Jordan Adeoti,HeadPass,751
1529,63,MissedShots,0.7519999694824219,0.2539999961853027,0.01137279998511076,N&#039;Golo Kanté,a,751,OpenPlay,2014,RightFoot,6132,Bordeaux,Caen,1,1,2014-10-19 16:00:00,,None,751
2159,49,MissedShots,0.7580000305175781,0.3320000076293945,0.019953899085521698,N&#039;Golo Kanté,h,751,OpenPlay,2014,RightFoot,6138,Caen,Lorient,2,1,2014-10-25 19:00:00,Herve Bazile,Pass,751
2162,58,BlockedShot,0.7340000152587891,0.42,0.021440599113702774,N&#039;Golo Kanté,h,751,OpenPlay,2014,RightFoot,6138,Caen,Lorient,2,1,2014-10-25 19:00:00,,None,751
3672,50,MissedShots,0.93,0.5829999923706055,0.09277179837226868,N&#039;Golo Kanté,a,751,OpenPlay,2014,Head,6077,Metz,Caen,3,2,2014-11-01 19:00:00,Herve Bazile,Cross,751
5998,90,MissedShots,0.7119999694824218,0.504000015258789,0.01524799969047308,N&#039;Golo Kanté,a,751,OpenPlay,2014,RightFoot,6100,Monaco,Caen,2,2,2014-11-22 19:00:00,Sloan Privat,Pass,751
2959,7,SavedShot,0.855999984741211,0.6609999847412109,0.05717319995164871,N&#039;Golo Kanté,h,751,OpenPlay,2014,LeftFoot,6110,Caen,Montpellier,1,1,2014-11-29 19:00:00,Bangaly-Fodé Koita,Pass,751
2980,88,MissedShots,0.7719999694824219,0.35200000762939454,0.022439399734139442,N&#039;Golo Kanté,h,751,OpenPlay,2014,LeftFoot,6110,Caen,Montpellier,1,1,2014-11-29 19:00:00,Julien Féret,Pass,751
5456,25,MissedShots,0.7869999694824219,0.48700000762939455,0.04215259850025177,N&#039;Golo Kanté,h,751,OpenPlay,2014,LeftFoot,6051,Caen,Nice,2,3,2014-12-06 19:00:00,,BallTouch,751
4770,24,MissedShots,0.7580000305175781,0.4620000076293945,0.022890400141477585,N&#039;Golo Kanté,h,751,OpenPlay,2014,LeftFoot,6070,Caen,SC Bastia,1,1,2014-12-20 19:00:00,,None,751
4776,52,BlockedShot,0.84,0.48900001525878906,0.05775979906320572,N&#039;Golo Kanté,h,751,OpenPlay,2014,RightFoot,6070,Caen,SC Bastia,1,1,2014-12-20 19:00:00,,None,751
2812,23,BlockedShot,0.845999984741211,0.33599998474121096,0.0445702001452446,N&#039;Golo Kanté,a,751,OpenPlay,2014,RightFoot,6003,Lille,Caen,1,0,2015-01-10 19:00:00,Herve Bazile,Pass,751
6044,74,MissedShots,0.674000015258789,0.5529999923706055,0.011259700171649456,N&#039;Golo Kanté,h,751,OpenPlay,2014,RightFoot,5960,Caen,Saint-Etienne,1,0,2015-02-01 13:00:00,,None,751
2764,19,BlockedShot,0.784000015258789,0.4520000076293945,0.03070780076086521,N&#039;Golo Kanté,a,751,OpenPlay,2014,RightFoot,5974,Paris Saint Germain,Caen,2,2,2015-02-14 15:00:00,Nicolas Benezet,Pass,751
