id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,season
516,Yohan Cabaye,33,2728,5,6.7147998213768005,1,3.237457119859755,67,50,7,0,M S,Crystal Palace,2,3.67012457549572,7.653649169951677,4.280717957764864,2015
516,Yohan Cabaye,32,2138,4,3.425436284393072,3,2.888524482026696,40,34,7,0,M S,Crystal Palace,4,2.6642672680318356,6.46074209548533,3.456773331388831,2016
516,Yohan Cabaye,31,2422,0,2.1468065194785595,1,3.3855136707425117,38,41,7,0,M S,Crystal Palace,0,2.1468065194785595,9.485376745462418,6.560186420567334,2017
