goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,ref_player_id
0,1,0.0454103983938694,90,FWR,Lille,Angers,0,0,2016-04-27,2217,2015,75190,0,0,0,0,0.0454103983938694,0.08372969925403595,0.03831930086016655,3364
0,2,0.4285599887371063,41,Sub,GFC Ajaccio,Lille,2,4,2016-04-16,2204,2015,75564,0.04158879816532135,0,1,0,0.4285599887371063,0.5463560223579407,0.11779599636793137,3364
1,2,1.0569700002670288,90,FWR,Lille,Monaco,4,1,2016-04-10,2196,2015,75162,0,0,0,1,1.0569700002670288,1.7191699743270874,1.2746100425720215,3364
0,1,0.02229350060224533,90,FWL,Nantes,Lille,0,3,2016-04-03,2186,2015,74929,0.05198189988732338,0,1,0,0.02229350060224533,0.15603700280189514,0.1337440013885498,3364
1,1,0.10434599965810776,73,FWR,Lille,Toulouse,1,0,2016-03-19,2172,2015,74361,0,0,0,1,0.10434599965810776,0.12527500092983246,0.02092820033431053,3364
0,1,0.038954198360443115,90,FWR,SC Bastia,Lille,1,2,2016-03-12,2164,2015,74181,0.02570750005543232,0,1,0,0.038954198360443115,0.08035729825496674,0.0156955998390913,3364
0,1,0.027564100921154022,90,MC,Lille,Reims,2,0,2016-03-05,2152,2015,74027,0.42219799757003784,0,2,0,0.027564100921154022,0.47622600197792053,0.43400201201438904,3364
0,0,0,24,Sub,Montpellier,Lille,3,0,2016-02-27,2139,2015,78041,0,0,0,0,0,0.04670510068535805,0.04670510068535805,3364
0,0,0,56,AMR,Lille,Lyon,1,0,2016-02-22,2137,2015,77717,0.30733999609947205,0,1,0,0,0.3688350021839142,0.06149420142173767,3364
0,0,0,19,Sub,Paris Saint Germain,Lille,0,0,2016-02-13,2120,2015,77516,0,0,0,0,0,0,0,3364
0,0,0,1,Sub,Marseille,Lille,1,1,2016-01-29,2089,2015,73850,0,0,0,0,0,0,0,3364
0,0,0,18,Sub,Lille,Troyes,1,3,2016-01-23,2083,2015,73504,0,0,0,0,0,0.055443599820137024,0.055443599820137024,3364
0,0,0,26,Sub,Newcastle United,West Ham,2,0,2015-05-24,4438,2014,26133,0,0,0,0,0,0.08261819928884506,0.08261819928884506,3364
0,0,0,47,AML,Aston Villa,West Ham,1,0,2015-05-09,4411,2014,23222,0,0,0,0,0,0,0,3364
0,2,0.38686901330947876,90,AML,West Ham,Burnley,1,0,2015-05-02,4404,2014,25434,0.3262760043144226,0,3,0,0.38686901330947876,0.7726939916610718,0.6161710023880005,3364
0,0,0,9,Sub,West Ham,Stoke,1,1,2015-04-11,4454,2014,24833,0,0,0,0,0,0,0,3364
0,0,0,24,Sub,Leicester,West Ham,2,1,2015-04-04,4442,2014,24876,0.33418700098991394,0,1,0,0,0.6710889935493469,0.336901992559433,3364
0,0,0,13,Sub,Arsenal,West Ham,3,0,2015-03-14,4494,2014,24932,0,0,0,0,0,0,0,3364
0,1,0.024225499480962753,90,MC,Southampton,West Ham,0,0,2015-02-11,4532,2014,27224,0,0,0,0,0.024225499480962753,0,0,3364
