goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,ref_player_id
0,1,0.045661721378564835,82,MC,AC Milan,Sampdoria,5,1,2023-05-20,18936,2022,598474,0,0,0,0,0.045661721378564835,0.12525074183940887,0.07958901673555374,1233
0,0,0,90,AMC,Sampdoria,Empoli,1,1,2023-05-15,18930,2022,597539,0.041270989924669266,0,1,0,0,0.0750148817896843,0.03374389186501503,1233
0,1,0.03993717208504677,90,AMC,Udinese,Sampdoria,2,0,2023-05-08,18921,2022,595774,0.014458193443715572,0,1,0,0.03993717208504677,0.08965283632278442,0.03525746986269951,1233
0,0,0,46,Sub,Fiorentina,Sampdoria,5,0,2023-04-30,18894,2022,593345,0,0,0,0,0,0,0,1233
0,0,0,16,Sub,Sampdoria,Spezia,1,1,2023-04-22,18888,2022,590429,0,0,0,0,0,0.12276049703359604,0.12276049703359604,1233
0,1,0.046094201505184174,47,AML,Lecce,Sampdoria,1,1,2023-04-16,18876,2022,588875,0,0,0,0,0.046094201505184174,0,0,1233
0,2,0.40187299251556396,90,AML,Sampdoria,Cremonese,2,3,2023-04-08,18869,2022,586905,0.06364250183105469,0,1,0,0.40187299251556396,1.3502000570297241,0.8846880197525024,1233
0,0,0,90,AMC,Roma,Sampdoria,3,0,2023-04-02,18860,2022,585688,0.04723919928073883,0,1,0,0,0.05184819921851158,0.05184819921851158,1233
0,2,0.14315900206565857,73,MC,Sampdoria,Verona,3,1,2023-03-19,18848,2022,583485,0.033869799226522446,0,1,0,0.14315900206565857,0.14315900206565857,0,1233
1,2,0.16384300589561462,74,AMC,Juventus,Sampdoria,4,2,2023-03-12,18836,2022,582354,0.08358380198478699,0,2,1,0.16384300589561462,0.24742700159549713,0,1233
0,0,0,90,AMC,Sampdoria,Bologna,1,2,2023-02-18,18808,2022,576141,0,0,0,0,0,0.06376399844884872,0.06376399844884872,1233
0,0,0,73,AMC,Sampdoria,Inter,0,0,2023-02-13,18801,2022,575831,0,0,0,0,0,0.08372599631547928,0.08372599631547928,1233
0,1,0.04650560021400452,69,AMC,Monza,Sampdoria,2,2,2023-02-06,18786,2022,574314,0.05738940089941025,0,1,0,0.04650560021400452,0.816914975643158,0.7130200266838074,1233
0,1,0.01744689978659153,60,AMC,Atalanta,Sampdoria,2,0,2023-01-28,18772,2022,571853,0,0,0,0,0.01744689978659153,0.01744689978659153,0,1233
0,1,0.3507319986820221,57,MC,Sampdoria,Udinese,0,1,2023-01-22,18770,2022,570478,0,0,0,0,0.3507319986820221,0.720924973487854,0.3701930046081543,1233
0,5,0.23266999423503876,90,MC,Empoli,Sampdoria,1,0,2023-01-16,18754,2022,569744,0.08032649755477905,0,4,0,0.23266999423503876,0.6362209916114807,0.3232240080833435,1233
0,1,0.02792550064623356,39,Sub,Sampdoria,Napoli,0,2,2023-01-08,18750,2022,567989,0,0,0,0,0.02792550064623356,0.02792550064623356,0,1233
0,0,0,58,AMC,Sampdoria,Lecce,0,2,2022-11-12,18731,2022,564662,0.04393300041556358,0,1,0,0,0,0,1233
0,1,0.023221300914883614,69,MC,Torino,Sampdoria,2,0,2022-11-09,18721,2022,563755,0.037431299686431885,0,1,0,0.023221300914883614,0.34873899817466736,0.28808701038360596,1233
0,0,0,90,MC,Sampdoria,Fiorentina,0,2,2022-11-06,18710,2022,562661,0.1414639949798584,0,4,0,0,0.14034800231456757,0.1259389966726303,1233
0,1,0.02455190010368824,78,AMC,Inter,Sampdoria,3,0,2022-10-29,18695,2022,560401,0.018290499225258827,0,1,0,0.02455190010368824,0.062402401119470596,0.01955989934504032,1233
0,0,0,90,AML,Cremonese,Sampdoria,0,1,2022-10-24,18684,2022,559450,0.32704800367355347,0,2,0,0,0.32704800367355347,0,1233
0,0,0,79,ML,Sampdoria,Roma,0,1,2022-10-17,18679,2022,557158,0.08309850096702576,0,3,0,0,0.017417900264263153,0,1233
1,1,0.24031899869441986,87,ML,Bologna,Sampdoria,1,1,2022-10-08,18662,2022,554423,0.02380390092730522,0,1,1,0.24031899869441986,0.2751689851284027,0.011046400293707848,1233
0,1,0.009987019933760166,73,ML,Sampdoria,Monza,0,3,2022-10-02,18660,2022,553079,0,0,0,0,0.009987019933760166,0,0,1233
0,0,0,82,ML,Spezia,Sampdoria,2,1,2022-09-17,18649,2022,550819,0.40862101316452026,0,4,0,0,0.47310900688171387,0.06448739767074585,1233
1,2,0.4998050034046173,82,ML,Sampdoria,AC Milan,1,2,2022-09-10,18640,2022,549315,0,0,0,1,0.4998050034046173,0.4998050034046173,0.0399991013109684,1233
0,0,0,27,Sub,Verona,Sampdoria,2,1,2022-09-04,18627,2022,548180,0.059178899973630905,0,1,0,0,0.059178899973630905,0,1233
0,0,0,23,Sub,Sampdoria,Lazio,1,1,2022-08-31,18616,2022,546048,0.018922600895166397,0,1,0,0,0.0910383015871048,0.07211560010910034,1233
0,2,0.1660279929637909,64,ML,Salernitana,Sampdoria,4,0,2022-08-28,18608,2022,545504,0,0,0,0,0.1660279929637909,0.3972800076007843,0.31864500045776367,1233
0,0,0,74,ML,Sampdoria,Juventus,0,0,2022-08-22,18601,2022,543855,0.09684090316295624,0,2,0,0,0.13356700539588928,0.08050040155649185,1233
0,0,0,60,ML,Sampdoria,Atalanta,0,2,2022-08-13,18583,2022,540866,0,0,0,0,0,0,0,1233
