id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction,ref_player_id
15318,77,MissedShots,0.8980000305175782,0.34200000762939453,0.09699039906263351,Eduardo Vargas,a,85,OpenPlay,2014,RightFoot,4727,Manchester United,Queens Park Rangers,4,0,2014-09-14 16:00:00,,TakeOn,85
15589,0,SavedShot,0.7780000305175782,0.30100000381469727,0.02290330082178116,Eduardo Vargas,h,85,OpenPlay,2014,RightFoot,4729,Queens Park Rangers,Stoke,2,2,2014-09-20 12:45:00,Joey Barton,Pass,85
16691,86,Goal,0.9459999847412109,0.4779999923706055,0.5817040205001831,Eduardo Vargas,h,85,SetPiece,2014,RightFoot,4706,Queens Park Rangers,Liverpool,2,3,2014-10-19 13:30:00,Charlie Austin,HeadPass,85
16694,91,BlockedShot,0.9230000305175782,0.6140000152587891,0.027515500783920288,Eduardo Vargas,h,85,FromCorner,2014,Head,4706,Queens Park Rangers,Liverpool,2,3,2014-10-19 13:30:00,Leroy Fer,Cross,85
17607,75,SavedShot,0.879000015258789,0.5979999923706054,0.3290179967880249,Eduardo Vargas,h,85,OpenPlay,2014,RightFoot,4718,Queens Park Rangers,Aston Villa,2,0,2014-10-27 20:00:00,Junior Hoilett,Chipped,85
17043,90,MissedShots,0.815,0.4370000076293945,0.04729500040411949,Eduardo Vargas,a,85,SetPiece,2014,RightFoot,4653,Chelsea,Queens Park Rangers,2,1,2014-11-01 15:00:00,Bobby Zamora,Pass,85
16759,23,BlockedShot,0.8859999847412109,0.8059999847412109,0.062033601105213165,Eduardo Vargas,h,85,DirectFreekick,2014,RightFoot,4664,Queens Park Rangers,Manchester City,2,2,2014-11-08 17:30:00,,Standard,85
16770,45,BlockedShot,0.7340000152587891,0.504000015258789,0.013577399775385857,Eduardo Vargas,h,85,SetPiece,2014,RightFoot,4664,Queens Park Rangers,Manchester City,2,2,2014-11-08 17:30:00,,Rebound,85
16769,45,BlockedShot,0.74,0.509000015258789,0.05783789977431297,Eduardo Vargas,h,85,DirectFreekick,2014,RightFoot,4664,Queens Park Rangers,Manchester City,2,2,2014-11-08 17:30:00,,Standard,85
16775,62,MissedShots,0.8369999694824218,0.33299999237060546,0.026024099439382553,Eduardo Vargas,h,85,OpenPlay,2014,RightFoot,4664,Queens Park Rangers,Manchester City,2,2,2014-11-08 17:30:00,Richard Dunne,Cross,85
