id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,season
990,James Morrison,33,2567,2,1.7436685003340244,1,3.0994835887104273,30,37,3,0,M S,West Bromwich Albion,2,1.7436685003340244,8.344453379511833,6.145427389070392,2014
990,James Morrison,18,1354,3,1.8907658848911524,3,1.1233719112351537,24,15,3,0,M S,West Bromwich Albion,3,1.1295968685299158,3.430091424845159,1.7143349926918745,2015
990,James Morrison,31,1736,5,2.478531064465642,2,1.3765214690938592,23,23,3,0,M S,West Bromwich Albion,5,2.478531064465642,6.91210843808949,3.5719482516869903,2016
990,James Morrison,4,204,1,1.0325140878558159,0,0.11298760026693344,4,3,0,0,M S,West Bromwich Albion,1,1.0325140878558159,1.5032309889793396,0.5208520032465458,2017
