id,isResult,side,h,a,goals,xG,datetime,forecast,result,ref_team_id
26608,True,h,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '1', 'a': '2'}","{'h': '2.8047', 'a': '2.6703'}",2024-08-17 16:30:00,"{'w': 0.43503871671573396, 'd': 0.17464386817710062, 'l': 0.39031696378520286}",l,81
26613,True,a,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '0', 'a': '2'}","{'h': '1.3761', 'a': '1.53421'}",2024-08-24 14:00:00,"{'w': 0.34158981921377646, 'd': 0.24640048660818675, 'l': 0.4120096940407228}",w,81
26628,True,h,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '1', 'a': '3'}","{'h': '0.947201', 'a': '3.19297'}",2024-08-31 16:30:00,"{'w': 0.0761630441502857, 'd': 0.11532452119930267, 'l': 0.8085110060538166}",l,81
26634,True,a,"{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '1', 'a': '1'}","{'h': '2.88601', 'a': '0.682719'}",2024-09-14 14:00:00,"{'w': 0.8216234903369464, 'd': 0.11788944031389463, 'l': 0.060486652671030004}",d,81
26642,True,h,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '0', 'a': '3'}","{'h': '0.758267', 'a': '2.39727'}",2024-09-21 11:30:00,"{'w': 0.09940059826007847, 'd': 0.16326406515397449, 'l': 0.7373352960475777}",l,81
26656,True,a,"{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '1', 'a': '1'}","{'h': '0.370222', 'a': '0.878617'}",2024-09-28 14:00:00,"{'w': 0.14919278303824376, 'd': 0.3880085223607437, 'l': 0.46279869460096457}",d,81
26665,True,h,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '285', 'title': 'Ipswich', 'short_title': 'IPS'}","{'h': '4', 'a': '1'}","{'h': '4.39402', 'a': '1.18463'}",2024-10-05 14:00:00,"{'w': 0.8822330783164078, 'd': 0.06980920826194957, 'l': 0.04790092816026083}",w,81
26672,True,a,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '4', 'a': '1'}","{'h': '1.44052', 'a': '0.858803'}",2024-10-19 11:30:00,"{'w': 0.507240576217291, 'd': 0.2685355654400262, 'l': 0.2242238582951786}",l,81
26690,True,h,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '2', 'a': '1'}","{'h': '2.99312', 'a': '2.62598'}",2024-10-27 14:00:00,"{'w': 0.47483487592843904, 'd': 0.17065220575888712, 'l': 0.35451213785490937}",w,81
26698,True,a,"{'id': '249', 'title': 'Nottingham Forest', 'short_title': 'NOT'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '3', 'a': '0'}","{'h': '2.35011', 'a': '0.132317'}",2024-11-02 15:00:00,"{'w': 0.8746814991656134, 'd': 0.11160850135452913, 'l': 0.013709968042427143}",l,81
26710,True,h,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '0', 'a': '0'}","{'h': '1.1237', 'a': '0.865983'}",2024-11-09 15:00:00,"{'w': 0.41447009757081066, 'd': 0.3058919679152415, 'l': 0.2796379345123713}",d,81
26713,True,a,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '0', 'a': '2'}","{'h': '1.49781', 'a': '0.942824'}",2024-11-25 20:00:00,"{'w': 0.5013455668638193, 'd': 0.26099155681551994, 'l': 0.23766287623975466}",w,81
26730,True,h,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '2', 'a': '5'}","{'h': '1.23539', 'a': '3.99935'}",2024-11-30 17:30:00,"{'w': 0.06668456470006635, 'd': 0.08878882521892346, 'l': 0.8445067149758662}",l,81
26738,True,a,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '3', 'a': '1'}","{'h': '2.78061', 'a': '2.87716'}",2024-12-03 20:15:00,"{'w': 0.39829794888647213, 'd': 0.17176651018937059, 'l': 0.4299348768073683}",l,81
26746,True,h,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'h': '2', 'a': '1'}","{'h': '1.19808', 'a': '1.47567'}",2024-12-09 20:00:00,"{'w': 0.30759793068867103, 'd': 0.2567318803760675, 'l': 0.43567018886555814}",w,81
26754,True,a,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '1', 'a': '1'}","{'h': '2.04842', 'a': '1.81827'}",2024-12-16 20:00:00,"{'w': 0.4401939649687614, 'd': 0.2096396530614325, 'l': 0.35016637557332303}",d,81
26767,True,h,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'h': '1', 'a': '1'}","{'h': '1.22937', 'a': '1.34379'}",2024-12-21 15:00:00,"{'w': 0.3405880449835116, 'd': 0.26499745042791284, 'l': 0.39441450456489985}",d,81
26780,True,a,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '0', 'a': '1'}","{'h': '2.19833', 'a': '1.90111'}",2024-12-26 15:00:00,"{'w': 0.455346223327807, 'd': 0.20234799326768774, 'l': 0.3423057681244831}",w,81
26791,True,h,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '0', 'a': '5'}","{'h': '0.518279', 'a': '3.29868'}",2024-12-29 17:15:00,"{'w': 0.030264536464431693, 'd': 0.07907169853106558, 'l': 0.8906616531837466}",l,81
