id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,season
672,Jordan Ayew,30,2356,7,4.692514030262828,0,1.4725213972851634,59,18,6,1,F M S,Aston Villa,6,3.9313449133187532,5.213557502254844,1.8964070649817586,2015
672,Jordan Ayew,14,858,1,1.021994834765792,3,1.8366587739437819,12,6,1,0,F M S,Swansea,1,1.021994834765792,2.998910278081894,0.79721849411726,2016
672,Jordan Ayew,36,2862,7,6.851808795705438,2,1.9186685755848885,65,16,2,1,F M S,Swansea,6,6.090640120208263,8.016539975069463,1.894833592697978,2017
672,Jordan Ayew,20,1200,1,2.648141134530306,2,1.2027313485741615,27,16,3,0,F S,Crystal Palace,1,2.648141134530306,3.8745528385043144,1.1150097157806158,2018
672,Jordan Ayew,37,3196,9,7.676178464666009,2,2.864643355831504,58,30,6,0,F M,Crystal Palace,9,7.676178464666009,11.721331859007478,3.8773924205452204,2019
672,Jordan Ayew,33,2097,1,2.58198132365942,3,0.8223462076857686,26,13,4,0,F M S,Crystal Palace,1,2.58198132365942,5.2682706490159035,2.6505747539922595,2020
672,Jordan Ayew,31,2036,3,4.290388016030192,3,3.0359251275658607,35,23,2,0,F M S,Crystal Palace,3,4.290388016030192,9.338780181482434,3.0739109199494123,2021
672,Jordan Ayew,38,2738,4,2.751328118145466,3,3.050740525126457,32,30,5,0,F M S,Crystal Palace,4,2.751328118145466,7.421665016561747,3.225975366309285,2022
672,Jordan Ayew,35,2563,4,4.262499047443271,7,4.95881259907037,48,25,7,1,F M S,Crystal Palace,4,4.262499047443271,10.702397212386131,5.5203778790310025,2023
672,Jordan Ayew,21,1107,4,3.9700340777635574,0,1.181055492721498,25,10,5,0,F M S,"Crystal Palace,Leicester",3,3.208865240216255,4.761994577944279,2.0354662630707026,2024
672,Jordan Ayew,21,1107,4,3.9700340777635574,0,1.181055492721498,25,10,5,0,F M S,"Crystal Palace,Leicester",3,3.208865240216255,4.761994577944279,2.0354662630707026,2025
