id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,season
1250,Mohamed Salah,3,23,0,0.5023026093840599,0,0.02637450024485588,2,1,0,0,S,Chelsea,0,0.5023026093840599,0.5454845950007439,0.016807500272989273,2014
1250,Mohamed Salah,36,2954,32,25.136492550373077,10,8.344478905200958,143,62,1,0,F M S,Liverpool,31,23.614155545830727,35.301444325596094,5.898576531559229,2017
1250,Mohamed Salah,38,3274,22,21.792449351400137,8,10.468590896576643,137,68,1,0,F S,Liverpool,19,19.50894832238555,31.78028777241707,7.865941375494003,2018
1250,Mohamed Salah,34,2904,19,20.66332234814763,10,8.726041685789824,132,60,1,0,F S,Liverpool,16,18.379813332110643,31.37418942153454,8.425027072429657,2019
1250,Mohamed Salah,37,3085,22,20.250850511714816,5,6.528527559712529,126,55,0,0,F M S,Liverpool,16,15.683834107592702,28.968229439109564,9.800236526876688,2020
1250,Mohamed Salah,35,2757,23,24.364288866519928,13,9.790822226554155,139,62,1,0,F S,Liverpool,18,19.79727490246296,32.15880052000284,11.22197961062193,2021
1250,Mohamed Salah,38,3307,19,23.340063713490963,12,8.720245610922575,125,65,2,0,F M S,Liverpool,17,20.295387655496597,32.54413793236017,8.866782674565911,2022
1250,Mohamed Salah,32,2556,18,21.941274393349886,10,12.332044444978237,114,66,2,0,F S,Liverpool,13,16.613166783005,31.875095803290606,8.363566914573312,2023
1250,Mohamed Salah,22,1956,19,17.164674520492554,13,9.983621422201395,86,50,1,0,F M,Liverpool,14,13.358830351382494,29.70504406094551,8.332912132143974,2024
1250,Mohamed Salah,22,1956,19,17.164674520492554,13,9.983621422201395,86,50,1,0,F M,Liverpool,14,13.358830351382494,29.70504406094551,8.332912132143974,2025
