id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,season
1653,Michael Keane,22,1632,0,1.3335245307534933,1,0.2113738004118204,12,6,1,0,D S,"Burnley,Manchester United",0,1.3335245307534933,1.2806256990879774,1.0469559002667665,2014
1653,Michael Keane,35,3150,2,1.458498489111662,1,0.9949255008250475,23,8,4,0,D,Burnley,2,1.458498489111662,1.3617717996239662,1.1613999027758837,2016
1653,Michael Keane,30,2563,0,1.2515033166855574,1,0.9502726048231125,15,4,3,0,D S,Everton,0,1.2515033166855574,1.8874125070869923,1.8523745127022266,2017
1653,Michael Keane,33,2970,1,2.003496803343296,2,1.2424164712429047,31,8,2,0,D,Everton,1,2.003496803343296,7.383239086717367,6.8295207768678665,2018
1653,Michael Keane,31,2550,2,2.021645300090313,0,0.6693382170051336,14,6,3,0,D S,Everton,2,2.021645300090313,5.468895215541124,4.870128262788057,2019
1653,Michael Keane,35,2986,3,1.5046901144087315,1,1.0852534715086222,16,7,4,0,D S,Everton,3,1.5046901144087315,6.95178396999836,6.67562198638916,2020
1653,Michael Keane,32,2799,3,1.2030848106369376,2,1.339627981185913,19,8,2,1,D S,Everton,3,1.2030848106369376,3.2479775734245777,2.64853598177433,2021
1653,Michael Keane,12,982,1,1.3261511586606503,2,1.0489701740443707,14,3,0,0,D S,Everton,1,1.3261511586606503,1.2412088364362717,0.4877051580697298,2022
1653,Michael Keane,9,432,1,0.9261618256568909,0,0,6,0,2,0,D S,Everton,1,0.9261618256568909,0.8365163393318653,0.8365163393318653,2023
1653,Michael Keane,10,811,2,0.7946690190583467,0,0.12363456189632416,8,1,4,0,D S,Everton,2,0.7946690190583467,1.1600648276507854,1.1311242170631886,2024
1653,Michael Keane,10,811,2,0.7946690190583467,0,0.12363456189632416,8,1,4,0,D S,Everton,2,0.7946690190583467,1.1600648276507854,1.1311242170631886,2025
